Number,Song Name,Artist Name
1,"

	
	
		
					Leave The Door Open		
	
","
	
	Silk Sonic (Bruno Mars & Anderson .Paak)
"
2,"

	
	
		
					Montero (Call Me By Your Name)		
	
","
	
	Lil Nas X
"
3,"

	
	
		
					Peaches		
	
","
	
	Justin Bieber Featuring Daniel Caesar & Giveon
"
4,"

	
	
		
					Up		
	
","
	
	Cardi B
"
5,"

	
	
		
					Drivers License		
	
","
	
	Olivia Rodrigo
"
6,"

	
	
		
					Save Your Tears		
	
","
	
	The Weeknd & Ariana Grande
"
7,"

	
	
		
					Levitating		
	
","
	
	Dua Lipa
"
8,"

	
	
		
					Deja Vu		
	
","
	
	Olivia Rodrigo
"
9,"

	
	
		
					Blinding Lights		
	
","
	
	The Weeknd
"
10,"

	
	
		
					Astronaut In The Ocean		
	
","
	
	Masked Wolf
"
11,"

	
	
		
					Calling My Phone		
	
","
	
	Lil Tjay Featuring 6LACK
"
12,"

	
	
		
					What You Know Bout Love		
	
","
	
	Pop Smoke
"
13,"

	
	
		
					Mood		
	
","
	
	24kGoldn Featuring iann dior
"
14,"

	
	
		
					Best Friend		
	
","
	
	Saweetie Featuring Doja Cat
"
15,"

	
	
		
					34+35		
	
","
	
	Ariana Grande Feat. Doja Cat & Megan Thee Stallion
"
16,"

	
	
		
					Go Crazy		
	
","
	
	Chris Brown & Young Thug
"
17,"

	
	
		
					What's Next		
	
","
	
	Drake
"
18,"

	
	
		
					Back In Blood		
	
","
	
	Pooh Shiesty Featuring Lil Durk
"
19,"

	
	
		
					Beat Box		
	
","
	
	SpotemGottem Featuring Pooh Shiesty Or DaBaby
"
20,"

	
	
		
					Therefore I Am		
	
","
	
	Billie Eilish
"
21,"

	
	
		
					You Broke Me First.		
	
","
	
	Tate McRae
"
22,"

	
	
		
					Heartbreak Anniversary		
	
","
	
	Giveon
"
23,"

	
	
		
					You're Mines Still		
	
","
	
	Yung Bleu Featuring Drake
"
24,"

	
	
		
					Positions		
	
","
	
	Ariana Grande
"
25,"

	
	
		
					Beautiful Mistakes		
	
","
	
	Maroon 5 Featuring Megan Thee Stallion
"
26,"

	
	
		
					Starting Over		
	
","
	
	Chris Stapleton
"
27,"

	
	
		
					On Me		
	
","
	
	Lil Baby
"
28,"

	
	
		
					My Ex's Best Friend		
	
","
	
	Machine Gun Kelly X blackbear
"
29,"

	
	
		
					The Good Ones		
	
","
	
	Gabby Barrett
"
30,"

	
	
		
					Without You		
	
","
	
	The Kid LAROI
"
31,"

	
	
		
					Dakiti		
	
","
	
	Bad Bunny & Jhay Cortez
"
32,"

	
	
		
					Tombstone		
	
","
	
	Rod Wave
"
33,"

	
	
		
					For The Night		
	
","
	
	Pop Smoke Featuring Lil Baby & DaBaby
"
