Number,Song Name,Artist Name
1,"

	
	
		
					Stay		
	
","
	
	The Kid LAROI & Justin Bieber
"
2,"

	
	
		
					Good 4 U		
	
","
	
	Olivia Rodrigo
"
3,"

	
	
		
					Bad Habits		
	
","
	
	Ed Sheeran
"
4,"

	
	
		
					Kiss Me More		
	
","
	
	Doja Cat Featuring SZA
"
5,"

	
	
		
					Levitating		
	
","
	
	Dua Lipa
"
6,"

	
	
		
					Take My Breath		
	
","
	
	The Weeknd
"
7,"

	
	
		
					Butter		
	
","
	
	BTS
"
8,"

	
	
		
					Industry Baby		
	
","
	
	Lil Nas X & Jack Harlow
"
9,"

	
	
		
					Montero (Call Me By Your Name)		
	
","
	
	Lil Nas X
"
10,"

	
	
		
					Deja Vu		
	
","
	
	Olivia Rodrigo
"
11,"

	
	
		
					Save Your Tears		
	
","
	
	The Weeknd & Ariana Grande
"
12,"

	
	
		
					Peaches		
	
","
	
	Justin Bieber Featuring Daniel Caesar & Giveon
"
13,"

	
	
		
					Happier Than Ever		
	
","
	
	Billie Eilish
"
14,"

	
	
		
					Leave The Door Open		
	
","
	
	Silk Sonic (Bruno Mars & Anderson .Paak)
"
15,"

	
	
		
					Fancy Like		
	
","
	
	Walker Hayes
"
16,"

	
	
		
					You Right		
	
","
	
	Doja Cat & The Weeknd
"
17,"

	
	
		
					Heartbreak Anniversary		
	
","
	
	Giveon
"
18,"

	
	
		
					Blinding Lights		
	
","
	
	The Weeknd
"
19,"

	
	
		
					Leave Before You Love Me		
	
","
	
	Marshmello X Jonas Brothers
"
20,"

	
	
		
					Need To Know		
	
","
	
	Doja Cat
"
21,"

	
	
		
					Glad You Exist		
	
","
	
	Dan + Shay
"
22,"

	
	
		
					Volvi		
	
","
	
	Aventura x Bad Bunny
"
23,"

	
	
		
					Every Chance I Get		
	
","
	
	DJ Khaled Featuring Lil Baby & Lil Durk
"
24,"

	
	
		
					Forever After All		
	
","
	
	Luke Combs
"
25,"

	
	
		
					Rapstar		
	
","
	
	Polo G
"
26,"

	
	
		
					Late At Night		
	
","
	
	Roddy Ricch
"
27,"

	
	
		
					Lil Bit		
	
","
	
	Nelly & Florida Georgia Line
"
28,"

	
	
		
					Without You		
	
","
	
	The Kid LAROI
"
29,"

	
	
		
					Thot Shit		
	
","
	
	Megan Thee Stallion
"
30,"

	
	
		
					Astronaut In The Ocean		
	
","
	
	Masked Wolf
"
31,"

	
	
		
					Heat Waves		
	
","
	
	Glass Animals
"
32,"

	
	
		
					Famous Friends		
	
","
	
	Chris Young + Kane Brown
"
33,"

	
	
		
					Traitor		
	
","
	
	Olivia Rodrigo
"
34,"

	
	
		
					Waves		
	
","
	
	Luke Bryan
"
35,"

	
	
		
					Skate		
	
","
	
	Silk Sonic (Bruno Mars & Anderson .Paak)
"
36,"

	
	
		
					Beautiful Mistakes		
	
","
	
	Maroon 5 Featuring Megan Thee Stallion
"
37,"

	
	
		
					Telepatia		
	
","
	
	Kali Uchis
"
38,"

	
	
		
					Drinkin' Beer. Talkin' God. Amen.		
	
","
	
	Chase Rice Featuring Florida Georgia Line
"
39,"

	
	
		
					Things A Man Oughta Know		
	
","
	
	Lainey Wilson
"
40,"

	
	
		
					Wockesha		
	
","
	
	Moneybagg Yo
"
41,"

	
	
		
					Arcade		
	
","
	
	Duncan Laurence
"
42,"

	
	
		
					My Ex's Best Friend		
	
","
	
	Machine Gun Kelly X blackbear
"
43,"

	
	
		
					Country Again		
	
","
	
	Thomas Rhett
"
44,"

	
	
		
					Essence		
	
","
	
	Wizkid Featuring Justin Bieber & Tems
"
45,"

	
	
		
					Whole Lotta Money		
	
","
	
	BIA Featuring Nicki Minaj
"
46,"

	
	
		
					Single Saturday Night		
	
","
	
	Cole Swindell
"
47,"

	
	
		
					Ain't Shit		
	
","
	
	Doja Cat
"
48,"

	
	
		
					Motley Crew		
	
","
	
	Post Malone
"
49,"

	
	
		
					Chasing After You		
	
","
	
	Ryan Hurd With Maren Morris
"
50,"

	
	
		
					Beggin'		
	
","
	
	Maneskin
"
51,"

	
	
		
					If I Didn't Love You		
	
","
	
	Jason Aldean & Carrie Underwood
"
52,"

	
	
		
					Pepas		
	
","
	
	Farruko
"
53,"

	
	
		
					2055		
	
","
	
	Sleepy Hallow
"
54,"

	
	
		
					Cold Beer Calling My Name		
	
","
	
	Jameson Rodgers Featuring Luke Combs
"
55,"

	
	
		
					Permission To Dance		
	
","
	
	BTS
"
56,"

	
	
		
					Yonaguni		
	
","
	
	Bad Bunny
"
57,"

	
	
		
					Todo de Ti		
	
","
	
	Rauw Alejandro
"
58,"

	
	
		
					We Didn't Have Much		
	
","
	
	Justin Moore
"
59,"

	
	
		
					Drunk (And I Don't Wanna Go Home)		
	
","
	
	Elle King & Miranda Lambert
"
60,"

	
	
		
					Wild Side		
	
","
	
	Normani Featuring Cardi B
"
61,"

	
	
		
					You		
	
","
	
	Regard x Troye Sivan x Tate McRae
"
62,"

	
	
		
					A-O-K		
	
","
	
	Tai Verdes
"
63,"

	
	
		
					Love Again		
	
","
	
	Dua Lipa
"
64,"

	
	
		
					Memory		
	
","
	
	Kane Brown X blackbear
"
65,"

	
	
		
					I Was On A Boat That Day		
	
","
	
	Old Dominion
"
66,"

	
	
		
					Don't Go Yet		
	
","
	
	Camila Cabello
"
67,"

	
	
		
					SUVs (Black On Black)		
	
","
	
	Jack Harlow & Pooh Shiesty
"
68,"

	
	
		
					Tombstone		
	
","
	
	Rod Wave
"
69,"

	
	
		
					You Should Probably Leave		
	
","
	
	Chris Stapleton
"
70,"

	
	
		
					My Boy		
	
","
	
	Elvie Shane
"
71,"

	
	
		
					Come Through		
	
","
	
	H.E.R. Featuring Chris Brown
"
72,"

	
	
		
					Straightenin		
	
","
	
	Migos
"
73,"

	
	
		
					my.life		
	
","
	
	J. Cole, 21 Savage & Morray
"
74,"

	
	
		
					Memory I Don't Mess With		
	
","
	
	Lee Brice
"
75,"

	
	
		
					Blame It On You		
	
","
	
	Jason Aldean
"
76,"

	
	
		
					Cold As You		
	
","
	
	Luke Combs
"
77,"

	
	
		
					NDA		
	
","
	
	Billie Eilish
"
78,"

	
	
		
					Gyalis		
	
","
	
	Capella Grey
"
79,"

	
	
		
					EPMD 2		
	
","
	
	Nas Featuring Eminem & EPMD
"
80,"

	
	
		
					Repeat It		
	
","
	
	Lil Tecca & Gunna
"
81,"

	
	
		
					You Time		
	
","
	
	Scotty McCreery
"
82,"

	
	
		
					Buy Dirt		
	
","
	
	Jordan Davis Featuring Luke Bryan
"
83,"

	
	
		
					AM		
	
","
	
	Nio Garcia X J Balvin X Bad Bunny
"
84,"

	
	
		
					Woman		
	
","
	
	Doja Cat
"
85,"

	
	
		
					Over The Top		
	
","
	
	Smiley Featuring Drake
"
86,"

	
	
		
					Lose		
	
","
	
	KSI x Lil Wayne
"
87,"

	
	
		
					Hats Off		
	
","
	
	Lil Baby, Lil Durk & Travis Scott
"
88,"

	
	
		
					I Hope Ur Miserable Until Ur Dead		
	
","
	
	Nessa Barrett
"
89,"

	
	
		
					Favorite Crime		
	
","
	
	Olivia Rodrigo
"
90,"

	
	
		
					Baddest		
	
","
	
	Yung Bleu, Chris Brown & 2 Chainz
"
91,"

	
	
		
					Ball If I Want To		
	
","
	
	DaBaby
"
92,"

	
	
		
					Not Sober		
	
","
	
	The Kid LAROI Featuring Polo G & Stunna Gambino
"
93,"

	
	
		
					Knowing You		
	
","
	
	Kenny Chesney
"
94,"

	
	
		
					WUSYANAME		
	
","
	
	Tyler, The Creator Featuring YoungBoy Never Broke Again & Ty Dolla $ign
"
95,"

	
	
		
					Outside		
	
","
	
	MO3 X OG Bobby Billions
"
96,"

	
	
		
					Next Girl		
	
","
	
	Carly Pearce
"
97,"

	
	
		
					Happier		
	
","
	
	Olivia Rodrigo
"
98,"

	
	
		
					Twerkulator		
	
","
	
	City Girls
"
99,"

	
	
		
					Fiel		
	
","
	
	Los Legendarios, Wisin & Jhay Cortez
"
100,"

	
	
		
					Rare		
	
","
	
	Nas
"
