Number,Song Name,Artist Name
1,Easy On Me,Adele
2,All I Want For Christmas Is You,Mariah Carey
3,Rockin' Around The Christmas Tree,Brenda Lee
4,Stay,The Kid LAROI & Justin Bieber
5,A Holly Jolly Christmas,Burl Ives
6,Jingle Bell Rock,Bobby Helms
7,I Hate U,SZA
8,Industry Baby,Lil Nas X & Jack Harlow
9,Heat Waves,Glass Animals
10,It's The Most Wonderful Time Of The Year,Andy Williams
11,Shivers,Ed Sheeran
12,Need To Know,Doja Cat
13,Last Christmas,Wham!
14,Feliz Navidad,Jose Feliciano
15,abcdefu,GAYLE
16,Bad Habits,Ed Sheeran
17,Sleigh Ride,The Ronettes
18,"Let It Snow, Let It Snow, Let It Snow!",Dean Martin
19,Cold Heart (PNAU Remix),Elton John & Dua Lipa
20,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole"
21,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra
22,Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak)
23,Super Gremlin,Kodak Black
24,Underneath The Tree,Kelly Clarkson
25,Christmas (Baby Please Come Home),Darlene Love
26,Happy Holiday / The Holiday Season,Andy Williams
27,Rudolph The Red-Nosed Reindeer,Gene Autry & The Pinafores
28,White Christmas,Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra
29,Good 4 U,Olivia Rodrigo
30,Santa Tell Me,Ariana Grande
31,Fancy Like,Walker Hayes
32,It's Beginning To Look A Lot Like Christmas,Michael Buble
33,You Right,Doja Cat & The Weeknd
34,Run Rudolph Run,Chuck Berry
35,Essence,Wizkid Featuring Justin Bieber & Tems
36,Kiss Me More,Doja Cat Featuring SZA
37,(There's No Place Like) Home For The Holidays (1959),Perry Como With Mitchell Ayers And His Orchestra
38,One Right Now,Post Malone & The Weeknd
39,Way 2 Sexy,Drake Featuring Future & Young Thug
40,Ghost,Justin Bieber
41,Save Your Tears,The Weeknd & Ariana Grande
42,All Too Well (Taylor's Version),Taylor Swift
43,Beggin',Maneskin
44,Knife Talk,Drake Featuring 21 Savage & Project Pat
45,Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter
46,Happier Than Ever,Billie Eilish
47,Oh My God,Adele
48,Love Nwantiti (Ah Ah Ah),CKay
49,Wandered To LA.,Juice WRLD & Justin Bieber
50,Thats What I Want,Lil Nas X
51,Better Days,NEIKED X Mae Muller X Polo G
52,If I Didn't Love You,Jason Aldean & Carrie Underwood
53,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole
54,Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage"
55,Girls Want Girls,Drake Featuring Lil Baby
56,Buy Dirt,Jordan Davis Featuring Luke Bryan
57,Cold As You,Luke Combs
58,You Should Probably Leave,Chris Stapleton
59,My Universe,Coldplay x BTS
60,Pepas,Farruko
61,By Your Side,Rod Wave
62,Sand In My Boots,Morgan Wallen
63,Have Mercy,Chloe
64,Woman,Doja Cat
65,Chosen,Blxst & Tyga Featuring Ty Dolla $ign
66,Don't Play,Polo G Featuring Lil Baby
67,Whiskey And Rain,Michael Ray
68,One Mississippi,Kane Brown
69,Big Energy,Latto
70,Bad Man (Smooth Criminal),Polo G
71,Enemy,Imagine Dragons X JID
72,Merry Christmas,Ed Sheeran & Elton John
73,Same Boat,Zac Brown Band
74,Christmas Tree Farm (Old Timey Version),Taylor Swift
75,Knowing You,Kenny Chesney
76,Family Ties,Baby Keem & Kendrick Lamar
77,Gyalis,Capella Grey
78,No Love,Summer Walker & SZA
79,Pick Out A Christmas Tree,Dan + Shay
80,Too Easy,Gunna & Future
81,'Til You Can't,Cody Johnson
82,Message In A Bottle (Taylor's Version) (From The Vault),Taylor Swift
83,Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk
84,Tequila Little Time,Jon Pardi
85,For Tonight,Giveon
86,Me Or Sum,"Nardo Wick, Lil Baby & Future"
87,Young N Dumb,Polo G
88,Freedom Was A Highway,Jimmie Allen & Brad Paisley
89,Fair Trade,Drake Featuring Travis Scott
90,Scorpio,Moneybagg Yo
91,Bubbly,Young Thug With Drake & Travis Scott
92,Half Of My Hometown,Kelsea Ballerini Featuring Kenny Chesney
93,Just About Over You,Priscilla Block
94,Start Up Again,Polo G Featuring Moneybagg Yo
95,Heart On Fire,Eric Church
96,Memory I Don't Mess With,Lee Brice
97,I'll Be Home For Christmas,Camila Cabello
98,Mercedes,Brent Faiyaz
99,Poke It Out,Wale Featuring J. Cole
100,Partin Ways,Polo G
