Number,Song Name,Artist Name
1,"

	
	
		
					Drivers License		
	
","
	
	Olivia Rodrigo
"
2,"

	
	
		
					Up		
	
","
	
	Cardi B
"
3,"

	
	
		
					Blinding Lights		
	
","
	
	The Weeknd
"
4,"

	
	
		
					Save Your Tears		
	
","
	
	The Weeknd & Ariana Grande
"
5,"

	
	
		
					Mood		
	
","
	
	24kGoldn Featuring iann dior
"
6,"

	
	
		
					34+35		
	
","
	
	Ariana Grande Feat. Doja Cat & Megan Thee Stallion
"
7,"

	
	
		
					Go Crazy		
	
","
	
	Chris Brown & Young Thug
"
8,"

	
	
		
					Levitating		
	
","
	
	Dua Lipa
"
9,"

	
	
		
					Positions		
	
","
	
	Ariana Grande
"
10,"

	
	
		
					What You Know Bout Love		
	
","
	
	Pop Smoke
"
11,"

	
	
		
					Whoopty		
	
","
	
	CJ
"
12,"

	
	
		
					For The Night		
	
","
	
	Pop Smoke Featuring Lil Baby & DaBaby
"
13,"

	
	
		
					Good Days		
	
","
	
	SZA
"
14,"

	
	
		
					Holy		
	
","
	
	Justin Bieber Featuring Chance The Rapper
"
15,"

	
	
		
					Therefore I Am		
	
","
	
	Billie Eilish
"
16,"

	
	
		
					Lonely		
	
","
	
	Justin Bieber & benny blanco
"
17,"

	
	
		
					Back In Blood		
	
","
	
	Pooh Shiesty Featuring Lil Durk
"
18,"

	
	
		
					Better Together		
	
","
	
	Luke Combs
"
19,"

	
	
		
					Dakiti		
	
","
	
	Bad Bunny & Jhay Cortez
"
20,"

	
	
		
					I Hope		
	
","
	
	Gabby Barrett Featuring Charlie Puth
"
21,"

	
	
		
					Body		
	
","
	
	Megan Thee Stallion
"
22,"

	
	
		
					Streets		
	
","
	
	Doja Cat
"
23,"

	
	
		
					Bang!		
	
","
	
	AJR
"
24,"

	
	
		
					You Broke Me First.		
	
","
	
	Tate McRae
"
25,"

	
	
		
					My Ex's Best Friend		
	
","
	
	Machine Gun Kelly X blackbear
"
26,"

	
	
		
					You're Mines Still		
	
","
	
	Yung Bleu Featuring Drake
"
27,"

	
	
		
					Lemonade		
	
","
	
	Internet Money & Gunna Featuring Don Toliver & NAV
"
28,"

	
	
		
					Cry Baby		
	
","
	
	Megan Thee Stallion Featuring DaBaby
"
29,"

	
	
		
					Willow		
	
","
	
	Taylor Swift
"
30,"

	
	
		
					Laugh Now Cry Later		
	
","
	
	Drake Featuring Lil Durk
"
31,"

	
	
		
					On Me		
	
","
	
	Lil Baby
"
32,"

	
	
		
					Before You Go		
	
","
	
	Lewis Capaldi
"
33,"

	
	
		
					Throat Baby (Go Baby)		
	
","
	
	BRS Kash
"
34,"

	
	
		
					Anyone		
	
","
	
	Justin Bieber
"
35,"

	
	
		
					Good Time		
	
","
	
	Niko Moon
"
36,"

	
	
		
					Wasted On You		
	
","
	
	Morgan Wallen
"
37,"

	
	
		
					Time Today		
	
","
	
	Moneybagg Yo
"
38,"

	
	
		
					Sand In My Boots		
	
","
	
	Morgan Wallen
"
39,"

	
	
		
					Hole In The Bottle		
	
","
	
	Kelsea Ballerini
"
40,"

	
	
		
					Starting Over		
	
","
	
	Chris Stapleton
"
41,"

	
	
		
					Best Friend		
	
","
	
	Saweetie Featuring Doja Cat
"
42,"

	
	
		
					Just The Way		
	
","
	
	Parmalee x Blanco Brown
"
43,"

	
	
		
					Dynamite		
	
","
	
	BTS
"
44,"

	
	
		
					Without You		
	
","
	
	The Kid LAROI
"
45,"

	
	
		
					Put Your Records On		
	
","
	
	Ritt Momney
"
46,"

	
	
		
					Beers And Sunshine		
	
","
	
	Darius Rucker
"
47,"

	
	
		
					Damage		
	
","
	
	H.E.R.
"
48,"

	
	
		
					Kings & Queens		
	
","
	
	Ava Max
"
49,"

	
	
		
					Rockstar		
	
","
	
	DaBaby Featuring Roddy Ricch
"
50,"

	
	
		
					Down To One		
	
","
	
	Luke Bryan
"
51,"

	
	
		
					Neighbors		
	
","
	
	Pooh Shiesty Featuring BIG30
"
52,"

	
	
		
					Somebody's Problem		
	
","
	
	Morgan Wallen
"
53,"

	
	
		
					Beat Box		
	
","
	
	SpotemGottem Featuring Pooh Shiesty Or DaBaby
"
54,"

	
	
		
					What's Your Country Song		
	
","
	
	Thomas Rhett
"
55,"

	
	
		
					GNF (OKOKOK)		
	
","
	
	Polo G
"
56,"

	
	
		
					The Good Ones		
	
","
	
	Gabby Barrett
"
57,"

	
	
		
					Afterglow		
	
","
	
	Ed Sheeran
"
58,"

	
	
		
					Golden		
	
","
	
	Harry Styles
"
59,"

	
	
		
					Goosebumps		
	
","
	
	Travis Scott & HVME
"
60,"

	
	
		
					Buss It		
	
","
	
	Erica Banks
"
61,"

	
	
		
					Long Live		
	
","
	
	Florida Georgia Line
"
62,"

	
	
		
					Monsters		
	
","
	
	All Time Low Featuring Demi Lovato & blackbear 
"
63,"

	
	
		
					Glad You Exist		
	
","
	
	Dan + Shay
"
64,"

	
	
		
					Provide		
	
","
	
	G-Eazy Featuring Chris Brown & Mark Morrison
"
