Number,Song Name,Artist Name
1,"

	
	
		
					All I Want For Christmas Is You		
	
","
	
	Mariah Carey
"
2,"

	
	
		
					Rockin' Around The Christmas Tree		
	
","
	
	Brenda Lee
"
3,"

	
	
		
					Jingle Bell Rock		
	
","
	
	Bobby Helms
"
4,"

	
	
		
					A Holly Jolly Christmas		
	
","
	
	Burl Ives
"
5,"

	
	
		
					It's The Most Wonderful Time Of The Year		
	
","
	
	Andy Williams
"
6,"

	
	
		
					Feliz Navidad		
	
","
	
	Jose Feliciano
"
7,"

	
	
		
					Mood		
	
","
	
	24kGoldn Featuring iann dior
"
8,"

	
	
		
					Let It Snow, Let It Snow, Let It Snow!		
	
","
	
	Dean Martin
"
9,"

	
	
		
					Last Christmas		
	
","
	
	Wham!
"
10,"

	
	
		
					Run Rudolph Run		
	
","
	
	Chuck Berry
"
11,"

	
	
		
					The Christmas Song (Merry Christmas To You)		
	
","
	
	Nat ""King"" Cole
"
12,"

	
	
		
					Underneath The Tree		
	
","
	
	Kelly Clarkson
"
13,"

	
	
		
					Sleigh Ride		
	
","
	
	The Ronettes
"
14,"

	
	
		
					Positions		
	
","
	
	Ariana Grande
"
15,"

	
	
		
					It's Beginning To Look A Lot Like Christmas		
	
","
	
	Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra
"
16,"

	
	
		
					Rudolph The Red-Nosed Reindeer		
	
","
	
	Gene Autry & The Pinafores
"
17,"

	
	
		
					Santa Tell Me		
	
","
	
	Ariana Grande
"
18,"

	
	
		
					Happy Holiday / The Holiday Season		
	
","
	
	Andy Williams
"
19,"

	
	
		
					Christmas (Baby Please Come Home)		
	
","
	
	Darlene Love
"
20,"

	
	
		
					White Christmas		
	
","
	
	Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra
"
21,"

	
	
		
					Holy		
	
","
	
	Justin Bieber Featuring Chance The Rapper
"
22,"

	
	
		
					(There's No Place Like) Home For The Holidays (1959)		
	
","
	
	Perry Como With Mitchell Ayers And His Orchestra
"
23,"

	
	
		
					It's Beginning To Look A Lot Like Christmas		
	
","
	
	Michael Buble
"
24,"

	
	
		
					Go Crazy		
	
","
	
	Chris Brown & Young Thug
"
25,"

	
	
		
					Laugh Now Cry Later		
	
","
	
	Drake Featuring Lil Durk
"
26,"

	
	
		
					Here Comes Santa Claus (Right Down Santa Claus Lane)		
	
","
	
	Gene Autry
"
27,"

	
	
		
					Levitating		
	
","
	
	Dua Lipa
"
28,"

	
	
		
					Wonderful Christmastime		
	
","
	
	Paul McCartney
"
29,"

	
	
		
					For The Night		
	
","
	
	Pop Smoke Featuring Lil Baby & DaBaby
"
30,"

	
	
		
					I Hope		
	
","
	
	Gabby Barrett Featuring Charlie Puth
"
31,"

	
	
		
					Lemonade		
	
","
	
	Internet Money & Gunna Featuring Don Toliver & NAV
"
32,"

	
	
		
					You're A Mean One, Mr. Grinch		
	
","
	
	Thurl Ravenscroft
"
33,"

	
	
		
					Blue Christmas		
	
","
	
	Elvis Presley
"
34,"

	
	
		
					Dakiti		
	
","
	
	Bad Bunny & Jhay Cortez
"
35,"

	
	
		
					Body		
	
","
	
	Megan Thee Stallion
"
36,"

	
	
		
					Mele Kalikimaka (Merry Christmas)		
	
","
	
	Bing Crosby & The Andrews Sisters
"
37,"

	
	
		
					Bang!		
	
","
	
	AJR
"
38,"

	
	
		
					Willow		
	
","
	
	Taylor Swift
"
39,"

	
	
		
					This Christmas		
	
","
	
	Donny Hathaway
"
40,"

	
	
		
					34+35		
	
","
	
	Ariana Grande Feat. Doja Cat & Megan Thee Stallion
"
41,"

	
	
		
					Kings & Queens		
	
","
	
	Ava Max
"
42,"

	
	
		
					Therefore I Am		
	
","
	
	Billie Eilish
"
43,"

	
	
		
					Deck The Halls		
	
","
	
	Nat King Cole
"
44,"

	
	
		
					Dynamite		
	
","
	
	BTS
"
45,"

	
	
		
					Please Come Home For Christmas		
	
","
	
	Eagles
"
46,"

	
	
		
					Santa Claus Is Comin' To Town		
	
","
	
	Jackson 5
"
47,"

	
	
		
					Little Saint Nick		
	
","
	
	The Beach Boys
"
48,"

	
	
		
					Take Me Home For Christmas		
	
","
	
	Dan + Shay
"
49,"

	
	
		
					Have Yourself A Merry Little Christmas		
	
","
	
	Michael Buble
"
50,"

	
	
		
					I'll Be Home For Christmas		
	
","
	
	Bing Crosby With John Scott Trotter And His Orchestra
"
51,"

	
	
		
					What You Know Bout Love		
	
","
	
	Pop Smoke
"
52,"

	
	
		
					Whoopty		
	
","
	
	CJ
"
53,"

	
	
		
					Lonely		
	
","
	
	Justin Bieber & benny blanco
"
54,"

	
	
		
					Hallelujah		
	
","
	
	Carrie Underwood & John Legend
"
55,"

	
	
		
					WAP		
	
","
	
	Cardi B Featuring Megan Thee Stallion
"
56,"

	
	
		
					Holiday		
	
","
	
	Lil Nas X
"
57,"

	
	
		
					Better Together		
	
","
	
	Luke Combs
"
58,"

	
	
		
					On Me		
	
","
	
	Lil Baby
"
59,"

	
	
		
					Afterglow		
	
","
	
	Ed Sheeran
"
60,"

	
	
		
					Gnat		
	
","
	
	Eminem
"
61,"

	
	
		
					Rockin' Around The Christmas Tree		
	
","
	
	Justin Bieber
"
62,"

	
	
		
					Favorite Time Of Year		
	
","
	
	Carrie Underwood
"
63,"

	
	
		
					Hawai		
	
","
	
	Maluma & The Weeknd
"
64,"

	
	
		
					Monster		
	
","
	
	Shawn Mendes & Justin Bieber
"
65,"

	
	
		
					Diamonds		
	
","
	
	Sam Smith
"
66,"

	
	
		
					Starting Over		
	
","
	
	Chris Stapleton
"
67,"

	
	
		
					Cry Baby		
	
","
	
	Megan Thee Stallion Featuring DaBaby
"
68,"

	
	
		
					You Broke Me First.		
	
","
	
	Tate McRae
"
69,"

	
	
		
					My Ex's Best Friend		
	
","
	
	Machine Gun Kelly X blackbear
"
70,"

	
	
		
					Without You		
	
","
	
	The Kid LAROI
"
71,"

	
	
		
					Big, Big Plans		
	
","
	
	Chris Lane
"
72,"

	
	
		
					Mr. Right Now		
	
","
	
	21 Savage & Metro Boomin Featuring Drake
"
73,"

	
	
		
					Forever After All		
	
","
	
	Luke Combs
"
74,"

	
	
		
					Throat Baby (Go Baby)		
	
","
	
	BRS Kash
"
75,"

	
	
		
					Under The Mistletoe		
	
","
	
	Kelly Clarkson & Brett Eldredge
"
76,"

	
	
		
					Tyler Herro		
	
","
	
	Jack Harlow
"
77,"

	
	
		
					Champagne Problems		
	
","
	
	Taylor Swift
"
78,"

	
	
		
					The First Noel		
	
","
	
	Gabby Barrett
"
79,"

	
	
		
					Love You Like I Used To		
	
","
	
	Russell Dickerson
"
80,"

	
	
		
					Champagne Night		
	
","
	
	Lady A
"
81,"

	
	
		
					Prisoner		
	
","
	
	Miley Cyrus Featuring Dua Lipa
"
82,"

	
	
		
					Good Time		
	
","
	
	Niko Moon
"
83,"

	
	
		
					7 Summers		
	
","
	
	Morgan Wallen
"
84,"

	
	
		
					Adderall (Corvette Corvette)		
	
","
	
	Popp Hunna
"
85,"

	
	
		
					You're Mines Still		
	
","
	
	Yung Bleu Featuring Drake
"
86,"

	
	
		
					Tequila Shots		
	
","
	
	Kid Cudi
"
87,"

	
	
		
					Back To The Streets		
	
","
	
	Saweetie Featuring Jhene Aiko
"
88,"

	
	
		
					Bichota		
	
","
	
	Karol G
"
89,"

	
	
		
					Way Out		
	
","
	
	Jack Harlow Featuring Big Sean
"
90,"

	
	
		
					Hit Different		
	
","
	
	SZA Featuring Ty Dolla $ign
"
91,"

	
	
		
					'Tis The Damn Season		
	
","
	
	Taylor Swift
"
92,"

	
	
		
					Damage		
	
","
	
	H.E.R.
"
93,"

	
	
		
					Backdoor		
	
","
	
	Lil Durk
"
94,"

	
	
		
					Silent Night		
	
","
	
	Carrie Underwood
"
95,"

	
	
		
					Golden		
	
","
	
	Harry Styles
"
96,"

	
	
		
					Hole In The Bottle		
	
","
	
	Kelsea Ballerini
"
97,"

	
	
		
					No Body, No Crime		
	
","
	
	Taylor Swift Featuring HAIM
"
98,"

	
	
		
					Moonwalking In Calabasas		
	
","
	
	DDG
"
99,"

	
	
		
					Took Her To The O		
	
","
	
	King Von
"
100,"

	
	
		
					Put Your Records On		
	
","
	
	Ritt Momney
"
