Number,Song Name,Artist Name
1,"

	
	
		
					Butter		
	
","
	
	BTS
"
2,"

	
	
		
					Good 4 U		
	
","
	
	Olivia Rodrigo
"
3,"

	
	
		
					Levitating		
	
","
	
	Dua Lipa
"
4,"

	
	
		
					Stay		
	
","
	
	The Kid LAROI & Justin Bieber
"
5,"

	
	
		
					Kiss Me More		
	
","
	
	Doja Cat Featuring SZA
"
6,"

	
	
		
					Bad Habits		
	
","
	
	Ed Sheeran
"
7,"

	
	
		
					Permission To Dance		
	
","
	
	BTS
"
8,"

	
	
		
					Montero (Call Me By Your Name)		
	
","
	
	Lil Nas X
"
9,"

	
	
		
					Deja Vu		
	
","
	
	Olivia Rodrigo
"
10,"

	
	
		
					Save Your Tears		
	
","
	
	The Weeknd & Ariana Grande
"
11,"

	
	
		
					Peaches		
	
","
	
	Justin Bieber Featuring Daniel Caesar & Giveon
"
12,"

	
	
		
					Leave The Door Open		
	
","
	
	Silk Sonic (Bruno Mars & Anderson .Paak)
"
13,"

	
	
		
					Rapstar		
	
","
	
	Polo G
"
14,"

	
	
		
					Wild Side		
	
","
	
	Normani Featuring Cardi B
"
15,"

	
	
		
					Fancy Like		
	
","
	
	Walker Hayes
"
16,"

	
	
		
					Heartbreak Anniversary		
	
","
	
	Giveon
"
17,"

	
	
		
					Blinding Lights		
	
","
	
	The Weeknd
"
18,"

	
	
		
					Astronaut In The Ocean		
	
","
	
	Masked Wolf
"
19,"

	
	
		
					You Right		
	
","
	
	Doja Cat & The Weeknd
"
20,"

	
	
		
					Without You		
	
","
	
	The Kid LAROI
"
21,"

	
	
		
					Forever After All		
	
","
	
	Luke Combs
"
22,"

	
	
		
					Every Chance I Get		
	
","
	
	DJ Khaled Featuring Lil Baby & Lil Durk
"
23,"

	
	
		
					Motley Crew		
	
","
	
	Post Malone
"
24,"

	
	
		
					Leave Before You Love Me		
	
","
	
	Marshmello X Jonas Brothers
"
25,"

	
	
		
					Thot Shit		
	
","
	
	Megan Thee Stallion
"
26,"

	
	
		
					Lil Bit		
	
","
	
	Nelly & Florida Georgia Line
"
27,"

	
	
		
					Single Saturday Night		
	
","
	
	Cole Swindell
"
28,"

	
	
		
					Famous Friends		
	
","
	
	Chris Young + Kane Brown
"
29,"

	
	
		
					Beautiful Mistakes		
	
","
	
	Maroon 5 Featuring Megan Thee Stallion
"
30,"

	
	
		
					Whole Lotta Money		
	
","
	
	BIA Featuring Nicki Minaj
"
31,"

	
	
		
					Ain't Shit		
	
","
	
	Doja Cat
"
32,"

	
	
		
					Heat Waves		
	
","
	
	Glass Animals
"
33,"

	
	
		
					Late At Night		
	
","
	
	Roddy Ricch
"
34,"

	
	
		
					Glad You Exist		
	
","
	
	Dan + Shay
"
35,"

	
	
		
					Beggin'		
	
","
	
	Maneskin
"
36,"

	
	
		
					Blame It On You		
	
","
	
	Jason Aldean
"
37,"

	
	
		
					Drinkin' Beer. Talkin' God. Amen.		
	
","
	
	Chase Rice Featuring Florida Georgia Line
"
38,"

	
	
		
					Telepatia		
	
","
	
	Kali Uchis
"
39,"

	
	
		
					Traitor		
	
","
	
	Olivia Rodrigo
"
40,"

	
	
		
					Best Friend		
	
","
	
	Saweetie Featuring Doja Cat
"
41,"

	
	
		
					Mood		
	
","
	
	24kGoldn Featuring iann dior
"
42,"

	
	
		
					My Ex's Best Friend		
	
","
	
	Machine Gun Kelly X blackbear
"
43,"

	
	
		
					Drivers License		
	
","
	
	Olivia Rodrigo
"
44,"

	
	
		
					Yonaguni		
	
","
	
	Bad Bunny
"
45,"

	
	
		
					Todo de Ti		
	
","
	
	Rauw Alejandro
"
46,"

	
	
		
					Need To Know		
	
","
	
	Doja Cat
"
47,"

	
	
		
					Wants And Needs		
	
","
	
	Drake Featuring Lil Baby
"
48,"

	
	
		
					Wockesha		
	
","
	
	Moneybagg Yo
"
49,"

	
	
		
					Tell The Vision		
	
","
	
	Pop Smoke Featuring Kanye West & Pusha T
"
50,"

	
	
		
					Holy Smokes		
	
","
	
	Trippie Redd Featuring Lil Uzi Vert
"
51,"

	
	
		
					Things A Man Oughta Know		
	
","
	
	Lainey Wilson
"
52,"

	
	
		
					pov		
	
","
	
	Ariana Grande
"
53,"

	
	
		
					Settling Down		
	
","
	
	Miranda Lambert
"
54,"

	
	
		
					Bout A Million		
	
","
	
	Pop Smoke Featuring 21 Savage & 42 Dugg
"
55,"

	
	
		
					One Too Many		
	
","
	
	Keith Urban Duet With P!nk
"
56,"

	
	
		
					Ball If I Want To		
	
","
	
	DaBaby
"
57,"

	
	
		
					Arcade		
	
","
	
	Duncan Laurence
"
58,"

	
	
		
					Chasing After You		
	
","
	
	Ryan Hurd With Maren Morris
"
59,"

	
	
		
					Drunk (And I Don't Wanna Go Home)		
	
","
	
	Elle King & Miranda Lambert
"
60,"

	
	
		
					You		
	
","
	
	Regard x Troye Sivan x Tate McRae
"
61,"

	
	
		
					Waves		
	
","
	
	Luke Bryan
"
62,"

	
	
		
					Way Less Sad		
	
","
	
	AJR
"
63,"

	
	
		
					Gone		
	
","
	
	Dierks Bentley
"
64,"

	
	
		
					Woo Baby		
	
","
	
	Pop Smoke Featuring Chris Brown
"
65,"

	
	
		
					We Didn't Have Much		
	
","
	
	Justin Moore
"
66,"

	
	
		
					Country Again		
	
","
	
	Thomas Rhett
"
67,"

	
	
		
					Essence		
	
","
	
	Wizkid Featuring Justin Bieber & Tems
"
68,"

	
	
		
					Favorite Crime		
	
","
	
	Olivia Rodrigo
"
69,"

	
	
		
					my.life		
	
","
	
	J. Cole, 21 Savage & Morray
"
70,"

	
	
		
					Memory		
	
","
	
	Kane Brown X blackbear
"
71,"

	
	
		
					Mr. Jones		
	
","
	
	Pop Smoke Featuring Future
"
72,"

	
	
		
					Straightenin		
	
","
	
	Migos
"
73,"

	
	
		
					AM		
	
","
	
	Nio Garcia X J Balvin X Bad Bunny
"
74,"

	
	
		
					Ski		
	
","
	
	Young Thug & Gunna
"
75,"

	
	
		
					NDA		
	
","
	
	Billie Eilish
"
76,"

	
	
		
					Happier		
	
","
	
	Olivia Rodrigo
"
77,"

	
	
		
					Tombstone		
	
","
	
	Rod Wave
"
78,"

	
	
		
					A-O-K		
	
","
	
	Tai Verdes
"
79,"

	
	
		
					Red Light Green Light		
	
","
	
	DaBaby
"
80,"

	
	
		
					More Time		
	
","
	
	Pop Smoke
"
81,"

	
	
		
					Hats Off		
	
","
	
	Lil Baby, Lil Durk & Travis Scott
"
82,"

	
	
		
					Manslaughter		
	
","
	
	Pop Smoke Featuring Rick Ross & The-Dream
"
83,"

	
	
		
					Minimum Wage		
	
","
	
	Blake Shelton
"
84,"

	
	
		
					Come Through		
	
","
	
	H.E.R. Featuring Chris Brown
"
85,"

	
	
		
					Fiel		
	
","
	
	Los Legendarios, Wisin & Jhay Cortez
"
86,"

	
	
		
					Demeanor		
	
","
	
	Pop Smoke Featuring Dua Lipa
"
87,"

	
	
		
					2055		
	
","
	
	Sleepy Hallow
"
88,"

	
	
		
					Brutal		
	
","
	
	Olivia Rodrigo
"
89,"

	
	
		
					Love Again		
	
","
	
	Dua Lipa
"
90,"

	
	
		
					I Was On A Boat That Day		
	
","
	
	Old Dominion
"
91,"

	
	
		
					WUSYANAME		
	
","
	
	Tyler, The Creator Featuring YoungBoy Never Broke Again & Ty Dolla $ign
"
92,"

	
	
		
					transparentsoul		
	
","
	
	Willow Featuring Travis Barker
"
93,"

	
	
		
					Am I The Only One		
	
","
	
	Aaron Lewis
"
94,"

	
	
		
					Twerkulator		
	
","
	
	City Girls
"
95,"

	
	
		
					My Boy		
	
","
	
	Elvie Shane
"
96,"

	
	
		
					Build A Bitch		
	
","
	
	Bella Poarch
"
97,"

	
	
		
					30		
	
","
	
	Pop Smoke Featuring Bizzy Banks
"
98,"

	
	
		
					You Should Probably Leave		
	
","
	
	Chris Stapleton
"
99,"

	
	
		
					Jealousy, Jealousy		
	
","
	
	Olivia Rodrigo
"
100,"

	
	
		
					Cold Beer Calling My Name		
	
","
	
	Jameson Rodgers Featuring Luke Combs
"
