Number,Song Name,Artist Name
1,"

	
	
		
					Butter		
	
","
	
	BTS
"
2,"

	
	
		
					Good 4 U		
	
","
	
	Olivia Rodrigo
"
3,"

	
	
		
					Levitating		
	
","
	
	Dua Lipa
"
4,"

	
	
		
					Peaches		
	
","
	
	Justin Bieber Featuring Daniel Caesar & Giveon
"
5,"

	
	
		
					Leave The Door Open		
	
","
	
	Silk Sonic (Bruno Mars & Anderson .Paak)
"
6,"

	
	
		
					Save Your Tears		
	
","
	
	The Weeknd & Ariana Grande
"
7,"

	
	
		
					Kiss Me More		
	
","
	
	Doja Cat Featuring SZA
"
8,"

	
	
		
					Astronaut In The Ocean		
	
","
	
	Masked Wolf
"
9,"

	
	
		
					Deja Vu		
	
","
	
	Olivia Rodrigo
"
10,"

	
	
		
					Yonaguni		
	
","
	
	Bad Bunny
"
11,"

	
	
		
					Montero (Call Me By Your Name)		
	
","
	
	Lil Nas X
"
12,"

	
	
		
					Without You		
	
","
	
	The Kid LAROI
"
13,"

	
	
		
					Forever After All		
	
","
	
	Luke Combs
"
14,"

	
	
		
					Rapstar		
	
","
	
	Polo G
"
15,"

	
	
		
					Blinding Lights		
	
","
	
	The Weeknd
"
16,"

	
	
		
					Hats Off		
	
","
	
	Lil Baby, Lil Durk & Travis Scott
"
17,"

	
	
		
					Drivers License		
	
","
	
	Olivia Rodrigo
"
18,"

	
	
		
					Beautiful Mistakes		
	
","
	
	Maroon 5 Featuring Megan Thee Stallion
"
19,"

	
	
		
					Traitor		
	
","
	
	Olivia Rodrigo
"
20,"

	
	
		
					Late At Night		
	
","
	
	Roddy Ricch
"
21,"

	
	
		
					Voice Of The Heroes		
	
","
	
	Lil Baby & Lil Durk
"
22,"

	
	
		
					Best Friend		
	
","
	
	Saweetie Featuring Doja Cat
"
23,"

	
	
		
					Heartbreak Anniversary		
	
","
	
	Giveon
"
24,"

	
	
		
					Heat Waves		
	
","
	
	Glass Animals
"
25,"

	
	
		
					Calling My Phone		
	
","
	
	Lil Tjay Featuring 6LACK
"
26,"

	
	
		
					Favorite Crime		
	
","
	
	Olivia Rodrigo
"
27,"

	
	
		
					Lost Cause		
	
","
	
	Billie Eilish
"
28,"

	
	
		
					Happier		
	
","
	
	Olivia Rodrigo
"
29,"

	
	
		
					Up		
	
","
	
	Cardi B
"
30,"

	
	
		
					Mood		
	
","
	
	24kGoldn Featuring iann dior
"
31,"

	
	
		
					2040		
	
","
	
	Lil Baby & Lil Durk
"
32,"

	
	
		
					Every Chance I Get		
	
","
	
	DJ Khaled Featuring Lil Baby & Lil Durk
"
33,"

	
	
		
					Telepatia		
	
","
	
	Kali Uchis
"
34,"

	
	
		
					How It Feels		
	
","
	
	Lil Baby & Lil Durk
"
35,"

	
	
		
					Brutal		
	
","
	
	Olivia Rodrigo
"
36,"

	
	
		
					Wockesha		
	
","
	
	Moneybagg Yo
"
37,"

	
	
		
					Wants And Needs		
	
","
	
	Drake Featuring Lil Baby
"
38,"

	
	
		
					Famous Friends		
	
","
	
	Chris Young + Kane Brown
"
39,"

	
	
		
					pov		
	
","
	
	Ariana Grande
"
40,"

	
	
		
					Gone		
	
","
	
	Dierks Bentley
"
41,"

	
	
		
					Beat Box		
	
","
	
	SpotemGottem Featuring Pooh Shiesty Or DaBaby
"
42,"

	
	
		
					My Ex's Best Friend		
	
","
	
	Machine Gun Kelly X blackbear
"
43,"

	
	
		
					Still Runnin		
	
","
	
	Lil Baby, Lil Durk & Meek Mill
"
44,"

	
	
		
					Track Star		
	
","
	
	Mooski
"
45,"

	
	
		
					What You Know Bout Love		
	
","
	
	Pop Smoke
"
46,"

	
	
		
					Who I Want		
	
","
	
	Lil Baby & Lil Durk
"
47,"

	
	
		
					my.life		
	
","
	
	J. Cole, 21 Savage & Morray
"
48,"

	
	
		
					Back In Blood		
	
","
	
	Pooh Shiesty Featuring Lil Durk
"
49,"

	
	
		
					Time Today		
	
","
	
	Moneybagg Yo
"
50,"

	
	
		
					Lil Bit		
	
","
	
	Nelly & Florida Georgia Line
"
51,"

	
	
		
					Blame It On You		
	
","
	
	Jason Aldean
"
52,"

	
	
		
					Nobody		
	
","
	
	Dylan Scott
"
53,"

	
	
		
					Todo de Ti		
	
","
	
	Rauw Alejandro
"
54,"

	
	
		
					Enough For You		
	
","
	
	Olivia Rodrigo
"
55,"

	
	
		
					Settling Down		
	
","
	
	Miranda Lambert
"
56,"

	
	
		
					Still Hood		
	
","
	
	Lil Baby & Lil Durk
"
57,"

	
	
		
					Jealousy, Jealousy		
	
","
	
	Olivia Rodrigo
"
58,"

	
	
		
					Okay		
	
","
	
	Lil Baby & Lil Durk
"
59,"

	
	
		
					Almost Maybes		
	
","
	
	Jordan Davis
"
60,"

	
	
		
					Man Of My Word		
	
","
	
	Lil Baby & Lil Durk
"
61,"

	
	
		
					Build A Bitch		
	
","
	
	Bella Poarch
"
62,"

	
	
		
					Breaking Up Was Easy In The 90's		
	
","
	
	Sam Hunt
"
63,"

	
	
		
					Glad You Exist		
	
","
	
	Dan + Shay
"
64,"

	
	
		
					pride.is.the.devil		
	
","
	
	J. Cole & Lil Baby
"
65,"

	
	
		
					1 Step Forward, 3 Steps Back		
	
","
	
	Olivia Rodrigo
"
66,"

	
	
		
					Ski		
	
","
	
	Young Thug & Gunna
"
67,"

	
	
		
					Medical		
	
","
	
	Lil Baby & Lil Durk
"
68,"

	
	
		
					Rich Off Pain		
	
","
	
	Lil Baby, Lil Durk & Rod Wave
"
69,"

	
	
		
					Leave Before You Love Me		
	
","
	
	Marshmello X Jonas Brothers
"
70,"

	
	
		
					Lying		
	
","
	
	Lil Baby & Lil Durk
"
71,"

	
	
		
					Snowflakes		
	
","
	
	Tom MacDonald
"
72,"

	
	
		
					Single Saturday Night		
	
","
	
	Cole Swindell
"
73,"

	
	
		
					That's Facts		
	
","
	
	Lil Baby & Lil Durk
"
74,"

	
	
		
					Made For You		
	
","
	
	Jake Owen
"
75,"

	
	
		
					Your Power		
	
","
	
	Billie Eilish
"
76,"

	
	
		
					No More Parties		
	
","
	
	Coi Leray Featuring Lil Durk
"
77,"

	
	
		
					We're Good		
	
","
	
	Dua Lipa
"
78,"

	
	
		
					One Too Many		
	
","
	
	Keith Urban Duet With P!nk
"
79,"

	
	
		
					Please		
	
","
	
	Lil Baby & Lil Durk
"
80,"

	
	
		
					Up The Side		
	
","
	
	Lil Baby, Lil Durk & Young Thug
"
81,"

	
	
		
					Minimum Wage		
	
","
	
	Blake Shelton
"
82,"

	
	
		
					Miss The Rage		
	
","
	
	Trippie Redd & Playboi Carti
"
83,"

	
	
		
					Way Less Sad		
	
","
	
	AJR
"
84,"

	
	
		
					Hope Ur OK		
	
","
	
	Olivia Rodrigo
"
85,"

	
	
		
					Quicksand		
	
","
	
	Morray
"
86,"

	
	
		
					Arcade		
	
","
	
	Duncan Laurence
"
87,"

	
	
		
					Straightenin		
	
","
	
	Migos
"
88,"

	
	
		
					Gang Gang		
	
","
	
	Polo G & Lil Wayne
"
89,"

	
	
		
					Drinkin' Beer. Talkin' God. Amen.		
	
","
	
	Chase Rice Featuring Florida Georgia Line
"
90,"

	
	
		
					Follow You		
	
","
	
	Imagine Dragons
"
91,"

	
	
		
					Chasing After You		
	
","
	
	Ryan Hurd With Maren Morris
"
92,"

	
	
		
					Tell Em		
	
","
	
	Cochise & $NOT
"
93,"

	
	
		
					4 Da Gang		
	
","
	
	42 Dugg & Roddy Ricch
"
94,"

	
	
		
					Tombstone		
	
","
	
	Rod Wave
"
95,"

	
	
		
					What's Next		
	
","
	
	Drake
"
96,"

	
	
		
					Things A Man Oughta Know		
	
","
	
	Lainey Wilson
"
97,"

	
	
		
					Country Again		
	
","
	
	Thomas Rhett
"
98,"

	
	
		
					Drunk (And I Don't Wanna Go Home)		
	
","
	
	Elle King & Miranda Lambert
"
99,"

	
	
		
					If You Want To		
	
","
	
	Lil Baby & Lil Durk
"
100,"

	
	
		
					Seeing Green		
	
","
	
	Nicki Minaj, Drake & Lil Wayne
"
