Number,Song Name,Artist Name
1,"

	
	
		
					Up		
	
","
	
	Cardi B
"
2,"

	
	
		
					Leave The Door Open		
	
","
	
	Silk Sonic (Bruno Mars & Anderson .Paak)
"
3,"

	
	
		
					Drivers License		
	
","
	
	Olivia Rodrigo
"
4,"

	
	
		
					What's Next		
	
","
	
	Drake
"
5,"

	
	
		
					Save Your Tears		
	
","
	
	The Weeknd & Ariana Grande
"
6,"

	
	
		
					Blinding Lights		
	
","
	
	The Weeknd
"
7,"

	
	
		
					Levitating		
	
","
	
	Dua Lipa
"
8,"

	
	
		
					Mood		
	
","
	
	24kGoldn Featuring iann dior
"
9,"

	
	
		
					34+35		
	
","
	
	Ariana Grande Feat. Doja Cat & Megan Thee Stallion
"
10,"

	
	
		
					Wants And Needs		
	
","
	
	Drake Featuring Lil Baby
"
11,"

	
	
		
					Go Crazy		
	
","
	
	Chris Brown & Young Thug
"
12,"

	
	
		
					What You Know Bout Love		
	
","
	
	Pop Smoke
"
13,"

	
	
		
					Calling My Phone		
	
","
	
	Lil Tjay Featuring 6LACK
"
14,"

	
	
		
					Back In Blood		
	
","
	
	Pooh Shiesty Featuring Lil Durk
"
15,"

	
	
		
					Therefore I Am		
	
","
	
	Billie Eilish
"
16,"

	
	
		
					Streets		
	
","
	
	Doja Cat
"
17,"

	
	
		
					Positions		
	
","
	
	Ariana Grande
"
18,"

	
	
		
					You're Mines Still		
	
","
	
	Yung Bleu Featuring Drake
"
19,"

	
	
		
					You Broke Me First.		
	
","
	
	Tate McRae
"
20,"

	
	
		
					Beat Box		
	
","
	
	SpotemGottem Featuring Pooh Shiesty Or DaBaby
"
21,"

	
	
		
					Best Friend		
	
","
	
	Saweetie Featuring Doja Cat
"
22,"

	
	
		
					Dakiti		
	
","
	
	Bad Bunny & Jhay Cortez
"
23,"

	
	
		
					On Me		
	
","
	
	Lil Baby
"
24,"

	
	
		
					For The Night		
	
","
	
	Pop Smoke Featuring Lil Baby & DaBaby
"
25,"

	
	
		
					Astronaut In The Ocean		
	
","
	
	Masked Wolf
"
26,"

	
	
		
					No More Parties		
	
","
	
	Coi Leray Featuring Lil Durk
"
27,"

	
	
		
					Good Days		
	
","
	
	SZA
"
28,"

	
	
		
					My Ex's Best Friend		
	
","
	
	Machine Gun Kelly X blackbear
"
29,"

	
	
		
					What's Your Country Song		
	
","
	
	Thomas Rhett
"
30,"

	
	
		
					Heartbreak Anniversary		
	
","
	
	Giveon
"
31,"

	
	
		
					Lemon Pepper Freestyle		
	
","
	
	Drake Featuring Rick Ross
"
32,"

	
	
		
					Put Your Records On		
	
","
	
	Ritt Momney
"
33,"

	
	
		
					The Good Ones		
	
","
	
	Gabby Barrett
"
34,"

	
	
		
					Dynamite		
	
","
	
	BTS
"
35,"

	
	
		
					Starting Over		
	
","
	
	Chris Stapleton
"
36,"

	
	
		
					Street Runner		
	
","
	
	Rod Wave
"
37,"

	
	
		
					Anyone		
	
","
	
	Justin Bieber
"
38,"

	
	
		
					Just The Way		
	
","
	
	Parmalee x Blanco Brown
"
39,"

	
	
		
					Willow		
	
","
	
	Taylor Swift
"
40,"

	
	
		
					Without You		
	
","
	
	The Kid LAROI
"
41,"

	
	
		
					Good Time		
	
","
	
	Niko Moon
"
42,"

	
	
		
					Cry Baby		
	
","
	
	Megan Thee Stallion Featuring DaBaby
"
43,"

	
	
		
					Telepatia		
	
","
	
	Kali Uchis
"
44,"

	
	
		
					Better Together		
	
","
	
	Luke Combs
"
45,"

	
	
		
					Whoopty		
	
","
	
	CJ
"
46,"

	
	
		
					My Head And My Heart		
	
","
	
	Ava Max
"
47,"

	
	
		
					Beautiful Mistakes		
	
","
	
	Maroon 5 Featuring Megan Thee Stallion
"
48,"

	
	
		
					Damage		
	
","
	
	H.E.R.
"
49,"

	
	
		
					Long Live		
	
","
	
	Florida Georgia Line
"
50,"

	
	
		
					Throat Baby (Go Baby)		
	
","
	
	BRS Kash
"
51,"

	
	
		
					Time Today		
	
","
	
	Moneybagg Yo
"
52,"

	
	
		
					We're Good		
	
","
	
	Dua Lipa
"
53,"

	
	
		
					Down To One		
	
","
	
	Luke Bryan
"
54,"

	
	
		
					Lady		
	
","
	
	Brett Young
"
55,"

	
	
		
					Track Star		
	
","
	
	Mooski
"
56,"

	
	
		
					Heat Waves		
	
","
	
	Glass Animals
"
57,"

	
	
		
					Goosebumps		
	
","
	
	Travis Scott & HVME
"
58,"

	
	
		
					Real As It Gets		
	
","
	
	Lil Baby Featuring EST Gee
"
59,"

	
	
		
					Hold On		
	
","
	
	Justin Bieber
"
60,"

	
	
		
					Monsters		
	
","
	
	All Time Low Featuring Demi Lovato & blackbear 
"
61,"

	
	
		
					Forever After All		
	
","
	
	Luke Combs
"
62,"

	
	
		
					Buss It		
	
","
	
	Erica Banks
"
63,"

	
	
		
					Hell Of A View		
	
","
	
	Eric Church
"
64,"

	
	
		
					Body		
	
","
	
	Megan Thee Stallion
"
65,"

	
	
		
					Momma's House		
	
","
	
	Dustin Lynch
"
66,"

	
	
		
					Wasted On You		
	
","
	
	Morgan Wallen
"
67,"

	
	
		
					Somebody Like That		
	
","
	
	Tenille Arts
"
68,"

	
	
		
					La Noche de Anoche		
	
","
	
	Bad Bunny & Rosalia
"
69,"

	
	
		
					The Business		
	
","
	
	Tiesto
"
70,"

	
	
		
					On The Ground		
	
","
	
	ROSE
"
71,"

	
	
		
					Masterpiece		
	
","
	
	DaBaby
"
72,"

	
	
		
					Girl Like Me		
	
","
	
	Black Eyed Peas X Shakira
"
73,"

	
	
		
					Almost Maybes		
	
","
	
	Jordan Davis
"
74,"

	
	
		
					Quicksand		
	
","
	
	Morray
"
75,"

	
	
		
					Pick Up Your Feelings		
	
","
	
	Jazmine Sullivan
"
76,"

	
	
		
					Breaking Up Was Easy In The 90's		
	
","
	
	Sam Hunt
"
77,"

	
	
		
					Made For You		
	
","
	
	Jake Owen
"
78,"

	
	
		
					You Got It		
	
","
	
	VEDO
"
79,"

	
	
		
					Lost		
	
","
	
	NF Featuring Hopsin
"
80,"

	
	
		
					Sand In My Boots		
	
","
	
	Morgan Wallen
"
81,"

	
	
		
					Beers And Sunshine		
	
","
	
	Darius Rucker
"
82,"

	
	
		
					One Too Many		
	
","
	
	Keith Urban Duet With P!nk
"
83,"

	
	
		
					Follow You		
	
","
	
	Imagine Dragons
"
84,"

	
	
		
					Baila Conmigo		
	
","
	
	Selena Gomez With Rauw Alejandro
"
85,"

	
	
		
					Nobody		
	
","
	
	Dylan Scott
"
86,"

	
	
		
					Glad You Exist		
	
","
	
	Dan + Shay
"
87,"

	
	
		
					Like I Want You		
	
","
	
	Giveon
"
88,"

	
	
		
					Daywalker!		
	
","
	
	Machine Gun Kelly & CORPSE
"
89,"

	
	
		
					Hello		
	
","
	
	Pop Smoke Featuring A Boogie Wit da Hoodie
"
90,"

	
	
		
					Settling Down		
	
","
	
	Miranda Lambert
"
91,"

	
	
		
					Bandido		
	
","
	
	Myke Towers & Juhn
"
92,"

	
	
		
					Neighbors		
	
","
	
	Pooh Shiesty Featuring BIG30
"
93,"

	
	
		
					Drankin N Smokin		
	
","
	
	Future & Lil Uzi Vert
"
94,"

	
	
		
					Hellcats & Trackhawks		
	
","
	
	Lil Durk
"
95,"

	
	
		
					Opp Stoppa		
	
","
	
	YBN Nahmir Featuring 21 Savage
"
96,"

	
	
		
					Still Trappin'		
	
","
	
	Lil Durk & King Von
"
97,"

	
	
		
					Finesse Out The Gang Way		
	
","
	
	Lil Durk Featuring Lil Baby
"
98,"

	
	
		
					Gone		
	
","
	
	Dierks Bentley
"
99,"

	
	
		
					Lil Bit		
	
","
	
	Nelly & Florida Georgia Line
"
100,"

	
	
		
					Undivided		
	
","
	
	Tim McGraw & Tyler Hubbard
"
