Number,Song Name,Artist Name
1,"

	
	
		
					Good 4 U		
	
","
	
	Olivia Rodrigo
"
2,"

	
	
		
					my.life		
	
","
	
	J. Cole, 21 Savage & Morray
"
3,"

	
	
		
					Levitating		
	
","
	
	Dua Lipa
"
4,"

	
	
		
					Leave The Door Open		
	
","
	
	Silk Sonic (Bruno Mars & Anderson .Paak)
"
5,"

	
	
		
					amari		
	
","
	
	J. Cole
"
6,"

	
	
		
					Peaches		
	
","
	
	Justin Bieber Featuring Daniel Caesar & Giveon
"
7,"

	
	
		
					pride.is.the.devil		
	
","
	
	J. Cole & Lil Baby
"
8,"

	
	
		
					95.south		
	
","
	
	J. Cole
"
9,"

	
	
		
					Save Your Tears		
	
","
	
	The Weeknd & Ariana Grande
"
10,"

	
	
		
					Kiss Me More		
	
","
	
	Doja Cat Featuring SZA
"
11,"

	
	
		
					Astronaut In The Ocean		
	
","
	
	Masked Wolf
"
12,"

	
	
		
					Seeing Green		
	
","
	
	Nicki Minaj, Drake & Lil Wayne
"
13,"

	
	
		
					applying.pressure		
	
","
	
	J. Cole
"
14,"

	
	
		
					100.mil'		
	
","
	
	J. Cole & Bas
"
15,"

	
	
		
					Rapstar		
	
","
	
	Polo G
"
16,"

	
	
		
					Without You		
	
","
	
	The Kid LAROI
"
17,"

	
	
		
					interlude		
	
","
	
	J. Cole
"
18,"

	
	
		
					Montero (Call Me By Your Name)		
	
","
	
	Lil Nas X
"
19,"

	
	
		
					let.go.my.hand		
	
","
	
	J. Cole, Bas & 6LACK
"
20,"

	
	
		
					punchin'.the.clock		
	
","
	
	J. Cole
"
21,"

	
	
		
					Deja Vu		
	
","
	
	Olivia Rodrigo
"
22,"

	
	
		
					Forever After All		
	
","
	
	Luke Combs
"
23,"

	
	
		
					Blinding Lights		
	
","
	
	The Weeknd
"
24,"

	
	
		
					Drivers License		
	
","
	
	Olivia Rodrigo
"
25,"

	
	
		
					the.climb.back		
	
","
	
	J. Cole
"
26,"

	
	
		
					Beautiful Mistakes		
	
","
	
	Maroon 5 Featuring Megan Thee Stallion
"
27,"

	
	
		
					Up		
	
","
	
	Cardi B
"
28,"

	
	
		
					hunger.on.hillside		
	
","
	
	J. Cole & Bas
"
29,"

	
	
		
					Calling My Phone		
	
","
	
	Lil Tjay Featuring 6LACK
"
30,"

	
	
		
					Best Friend		
	
","
	
	Saweetie Featuring Doja Cat
"
31,"

	
	
		
					Beat Box		
	
","
	
	SpotemGottem Featuring Pooh Shiesty Or DaBaby
"
32,"

	
	
		
					Heartbreak Anniversary		
	
","
	
	Giveon
"
33,"

	
	
		
					close		
	
","
	
	J. Cole
"
34,"

	
	
		
					My Ex's Best Friend		
	
","
	
	Machine Gun Kelly X blackbear
"
35,"

	
	
		
					Every Chance I Get		
	
","
	
	DJ Khaled Featuring Lil Baby & Lil Durk
"
36,"

	
	
		
					Hell Of A View		
	
","
	
	Eric Church
"
37,"

	
	
		
					Mood		
	
","
	
	24kGoldn Featuring iann dior
"
38,"

	
	
		
					Straightenin		
	
","
	
	Migos
"
39,"

	
	
		
					Wockesha		
	
","
	
	Moneybagg Yo
"
40,"

	
	
		
					Back In Blood		
	
","
	
	Pooh Shiesty Featuring Lil Durk
"
41,"

	
	
		
					The Good Ones		
	
","
	
	Gabby Barrett
"
42,"

	
	
		
					Heat Waves		
	
","
	
	Glass Animals
"
43,"

	
	
		
					Breaking Up Was Easy In The 90's		
	
","
	
	Sam Hunt
"
44,"

	
	
		
					Track Star		
	
","
	
	Mooski
"
45,"

	
	
		
					What You Know Bout Love		
	
","
	
	Pop Smoke
"
46,"

	
	
		
					We're Good		
	
","
	
	Dua Lipa
"
47,"

	
	
		
					On Me		
	
","
	
	Lil Baby
"
48,"

	
	
		
					Telepatia		
	
","
	
	Kali Uchis
"
49,"

	
	
		
					Wants And Needs		
	
","
	
	Drake Featuring Lil Baby
"
50,"

	
	
		
					Miss The Rage		
	
","
	
	Trippie Redd & Playboi Carti
"
51,"

	
	
		
					pov		
	
","
	
	Ariana Grande
"
52,"

	
	
		
					Fractions		
	
","
	
	Nicki Minaj
"
53,"

	
	
		
					Time Today		
	
","
	
	Moneybagg Yo
"
54,"

	
	
		
					Your Power		
	
","
	
	Billie Eilish
"
