Number,Song Name,Artist Name
1,"

	
	
		
					Easy On Me		
	
","
	
	Adele
"
2,"

	
	
		
					Stay		
	
","
	
	The Kid LAROI & Justin Bieber
"
3,"

	
	
		
					Industry Baby		
	
","
	
	Lil Nas X & Jack Harlow
"
4,"

	
	
		
					Bad Habits		
	
","
	
	Ed Sheeran
"
5,"

	
	
		
					Shivers		
	
","
	
	Ed Sheeran
"
6,"

	
	
		
					One Right Now		
	
","
	
	Post Malone & The Weeknd
"
7,"

	
	
		
					Fancy Like		
	
","
	
	Walker Hayes
"
8,"

	
	
		
					Smokin Out The Window		
	
","
	
	Silk Sonic (Bruno Mars & Anderson .Paak)
"
9,"

	
	
		
					Need To Know		
	
","
	
	Doja Cat
"
10,"

	
	
		
					Heat Waves		
	
","
	
	Glass Animals
"
11,"

	
	
		
					Escape Plan		
	
","
	
	Travis Scott
"
12,"

	
	
		
					Way 2 Sexy		
	
","
	
	Drake Featuring Future & Young Thug
"
13,"

	
	
		
					No Love		
	
","
	
	Summer Walker & SZA
"
14,"

	
	
		
					Cold Heart (PNAU Remix)		
	
","
	
	Elton John & Dua Lipa
"
15,"

	
	
		
					Good 4 U		
	
","
	
	Olivia Rodrigo
"
16,"

	
	
		
					Essence		
	
","
	
	Wizkid Featuring Justin Bieber & Tems
"
17,"

	
	
		
					Beggin'		
	
","
	
	Maneskin
"
18,"

	
	
		
					Levitating		
	
","
	
	Dua Lipa
"
19,"

	
	
		
					You Right		
	
","
	
	Doja Cat & The Weeknd
"
20,"

	
	
		
					Kiss Me More		
	
","
	
	Doja Cat Featuring SZA
"
21,"

	
	
		
					If I Didn't Love You		
	
","
	
	Jason Aldean & Carrie Underwood
"
22,"

	
	
		
					Save Your Tears		
	
","
	
	The Weeknd & Ariana Grande
"
23,"

	
	
		
					Knife Talk		
	
","
	
	Drake Featuring 21 Savage & Project Pat
"
24,"

	
	
		
					Chasing After You		
	
","
	
	Ryan Hurd With Maren Morris
"
25,"

	
	
		
					Bitter		
	
","
	
	Summer Walker & Cardi B
"
26,"

	
	
		
					Mafia		
	
","
	
	Travis Scott
"
27,"

	
	
		
					Meet Me At Our Spot		
	
","
	
	THE ANXIETY: WILLOW & Tyler Cole
"
28,"

	
	
		
					Girls Want Girls		
	
","
	
	Drake Featuring Lil Baby
"
29,"

	
	
		
					Better Days		
	
","
	
	NEIKED X Mae Muller X Polo G
"
30,"

	
	
		
					Buy Dirt		
	
","
	
	Jordan Davis Featuring Luke Bryan
"
31,"

	
	
		
					Happier Than Ever		
	
","
	
	Billie Eilish
"
32,"

	
	
		
					Love Nwantiti (Ah Ah Ah)		
	
","
	
	CKay
"
33,"

	
	
		
					Ex For A Reason		
	
","
	
	Summer Walker & JT
"
