Number,Song Name,Artist Name
1,"

	
	
		
					Stay		
	
","
	
	The Kid LAROI & Justin Bieber
"
2,"

	
	
		
					Industry Baby		
	
","
	
	Lil Nas X & Jack Harlow
"
3,"

	
	
		
					Fancy Like		
	
","
	
	Walker Hayes
"
4,"

	
	
		
					Way 2 Sexy		
	
","
	
	Drake Featuring Future & Young Thug
"
5,"

	
	
		
					Bad Habits		
	
","
	
	Ed Sheeran
"
6,"

	
	
		
					Good 4 U		
	
","
	
	Olivia Rodrigo
"
7,"

	
	
		
					Kiss Me More		
	
","
	
	Doja Cat Featuring SZA
"
8,"

	
	
		
					Levitating		
	
","
	
	Dua Lipa
"
9,"

	
	
		
					Knife Talk		
	
","
	
	Drake Featuring 21 Savage & Project Pat
"
10,"

	
	
		
					Essence		
	
","
	
	Wizkid Featuring Justin Bieber & Tems
"
11,"

	
	
		
					Shivers		
	
","
	
	Ed Sheeran
"
12,"

	
	
		
					My Universe		
	
","
	
	Coldplay x BTS
"
13,"

	
	
		
					Need To Know		
	
","
	
	Doja Cat
"
14,"

	
	
		
					Save Your Tears		
	
","
	
	The Weeknd & Ariana Grande
"
15,"

	
	
		
					Heat Waves		
	
","
	
	Glass Animals
"
16,"

	
	
		
					Beggin'		
	
","
	
	Maneskin
"
17,"

	
	
		
					Montero (Call Me By Your Name)		
	
","
	
	Lil Nas X
"
18,"

	
	
		
					You Right		
	
","
	
	Doja Cat & The Weeknd
"
19,"

	
	
		
					If I Didn't Love You		
	
","
	
	Jason Aldean & Carrie Underwood
"
20,"

	
	
		
					Girls Want Girls		
	
","
	
	Drake Featuring Lil Baby
"
21,"

	
	
		
					Traitor		
	
","
	
	Olivia Rodrigo
"
22,"

	
	
		
					Take My Breath		
	
","
	
	The Weeknd
"
23,"

	
	
		
					Sharing Locations		
	
","
	
	Meek Mill Featuring Lil Baby & Lil Durk
"
24,"

	
	
		
					Chasing After You		
	
","
	
	Ryan Hurd With Maren Morris
"
25,"

	
	
		
					Pepas		
	
","
	
	Farruko
"
26,"

	
	
		
					Thats What I Want		
	
","
	
	Lil Nas X
"
27,"

	
	
		
					Wockesha		
	
","
	
	Moneybagg Yo
"
28,"

	
	
		
					Cold Beer Calling My Name		
	
","
	
	Jameson Rodgers Featuring Luke Combs
"
29,"

	
	
		
					Happier Than Ever		
	
","
	
	Billie Eilish
"
