Number,Song Name,Artist Name
1,"

	
	
		
					Stay		
	
","
	
	The Kid LAROI & Justin Bieber
"
2,"

	
	
		
					Way 2 Sexy		
	
","
	
	Drake Featuring Future & Young Thug
"
3,"

	
	
		
					Bad Habits		
	
","
	
	Ed Sheeran
"
4,"

	
	
		
					Knife Talk		
	
","
	
	Drake Featuring 21 Savage & Project Pat
"
5,"

	
	
		
					Fancy Like		
	
","
	
	Walker Hayes
"
6,"

	
	
		
					Industry Baby		
	
","
	
	Lil Nas X & Jack Harlow
"
7,"

	
	
		
					Good 4 U		
	
","
	
	Olivia Rodrigo
"
8,"

	
	
		
					Kiss Me More		
	
","
	
	Doja Cat Featuring SZA
"
9,"

	
	
		
					Levitating		
	
","
	
	Dua Lipa
"
10,"

	
	
		
					Girls Want Girls		
	
","
	
	Drake Featuring Lil Baby
"
11,"

	
	
		
					Fair Trade		
	
","
	
	Drake Featuring Travis Scott
"
12,"

	
	
		
					Save Your Tears		
	
","
	
	The Weeknd & Ariana Grande
"
13,"

	
	
		
					Montero (Call Me By Your Name)		
	
","
	
	Lil Nas X
"
14,"

	
	
		
					Butter		
	
","
	
	BTS
"
15,"

	
	
		
					Heat Waves		
	
","
	
	Glass Animals
"
16,"

	
	
		
					Shivers		
	
","
	
	Ed Sheeran
"
17,"

	
	
		
					Essence		
	
","
	
	Wizkid Featuring Justin Bieber & Tems
"
18,"

	
	
		
					You Right		
	
","
	
	Doja Cat & The Weeknd
"
19,"

	
	
		
					Champagne Poetry		
	
","
	
	Drake
"
20,"

	
	
		
					Deja Vu		
	
","
	
	Olivia Rodrigo
"
21,"

	
	
		
					Need To Know		
	
","
	
	Doja Cat
"
22,"

	
	
		
					No Friends In The Industry		
	
","
	
	Drake
"
23,"

	
	
		
					Take My Breath		
	
","
	
	The Weeknd
"
24,"

	
	
		
					If I Didn't Love You		
	
","
	
	Jason Aldean & Carrie Underwood
"
25,"

	
	
		
					Family Ties		
	
","
	
	Baby Keem & Kendrick Lamar
"
26,"

	
	
		
					Hurricane		
	
","
	
	Kanye West
"
27,"

	
	
		
					TSU		
	
","
	
	Drake
"
28,"

	
	
		
					Have Mercy		
	
","
	
	Chloe
"
29,"

	
	
		
					In The Bible		
	
","
	
	Drake Featuring Lil Durk & Giveon
"
30,"

	
	
		
					Beggin'		
	
","
	
	Maneskin
"
31,"

	
	
		
					Leave The Door Open		
	
","
	
	Silk Sonic (Bruno Mars & Anderson .Paak)
"
32,"

	
	
		
					Leave Before You Love Me		
	
","
	
	Marshmello X Jonas Brothers
"
33,"

	
	
		
					N 2 Deep		
	
","
	
	Drake Featuring Future
"
34,"

	
	
		
					Pepas		
	
","
	
	Farruko
"
35,"

	
	
		
					Love All		
	
","
	
	Drake Featuring JAY-Z
"
36,"

	
	
		
					Happier Than Ever		
	
","
	
	Billie Eilish
"
37,"

	
	
		
					Traitor		
	
","
	
	Olivia Rodrigo
"
38,"

	
	
		
					Things A Man Oughta Know		
	
","
	
	Lainey Wilson
"
39,"

	
	
		
					Chasing After You		
	
","
	
	Ryan Hurd With Maren Morris
"
40,"

	
	
		
					Peaches		
	
","
	
	Justin Bieber Featuring Daniel Caesar & Giveon
"
41,"

	
	
		
					Papi's Home		
	
","
	
	Drake
"
42,"

	
	
		
					Arcade		
	
","
	
	Duncan Laurence
"
43,"

	
	
		
					Cold Beer Calling My Name		
	
","
	
	Jameson Rodgers Featuring Luke Combs
"
44,"

	
	
		
					Rumors		
	
","
	
	Lizzo Featuring Cardi B
"
45,"

	
	
		
					Pipe Down		
	
","
	
	Drake
"
46,"

	
	
		
					A-O-K		
	
","
	
	Tai Verdes
"
47,"

	
	
		
					Country Again		
	
","
	
	Thomas Rhett
"
48,"

	
	
		
					Thot Shit		
	
","
	
	Megan Thee Stallion
"
49,"

	
	
		
					Late At Night		
	
","
	
	Roddy Ricch
"
50,"

	
	
		
					Wockesha		
	
","
	
	Moneybagg Yo
"
51,"

	
	
		
					Buy Dirt		
	
","
	
	Jordan Davis Featuring Luke Bryan
"
