title; rank; date; artist; chart
We Don't Talk About Bruno;1;31/12/2021;Carolina Gaitán - La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz, Encanto - Cast;viral50
TO THE;2;31/12/2021;GoldSkull;viral50
Surface Pressure;3;31/12/2021;Jessica Darrow;viral50
Hrs and Hrs;4;31/12/2021;Muni Long;viral50
Love Grows (Where My Rosemary Goes);5;31/12/2021;Edison Lighthouse;viral50
Happy Death Day;6;31/12/2021;Xdinary Heroes;viral50
Swimming Pool;7;31/12/2021;Marie Madeleine;viral50
"30/90 (from ""tick tick... BOOM!"" Soundtrack from the Netflix Film)";8;31/12/2021;Andrew Garfield, Joshua Henry, Vanessa Hudgens, Robin de Jesus, Alexandra Shipp, MJ Rodriguez;viral50
Shakey x off these drugs;9;31/12/2021;ShakeyFunnyAzz;viral50
Just A Little While;10;31/12/2021;The 502s;viral50
I AM WOMAN;11;31/12/2021;Emmy Meli;viral50
ELEVEN;12;31/12/2021;IVE;viral50
After Hours;13;31/12/2021;charlieonnafriday;viral50
Sunroof;14;31/12/2021;Nicky Youre, dazy;viral50
What Else Can I Do?;15;31/12/2021;Diane Guerrero, Stephanie Beatriz;viral50
Dos Oruguitas;16;31/12/2021;Sebastian Yatra;viral50
Shake;17;31/12/2021;IShowSpeed, Aura The Scientist;viral50
abcdefu;18;31/12/2021;GAYLE;viral50
Doja - 4 Morant;19;31/12/2021;JuMa44, juan mazini;viral50
Nadie Va A Pensar En Ti Mejor Que Yo;20;31/12/2021;Conjunto Rienda Real;viral50
Habang Buhay;21;31/12/2021;Zack Tabudlo;viral50
Therapy;22;31/12/2021;Andrew Garfield, Vanessa Hudgens;viral50
Waiting On A Miracle;23;31/12/2021;Stephanie Beatriz;viral50
It's Called: Freefall;24;31/12/2021;Rainbow Kitten Surprise;viral50
Alien Blues;25;31/12/2021;Vundabar;viral50
Material Girl;26;31/12/2021;Saucy Santana;viral50
God Must Hate Me;27;31/12/2021;Catie Turner;viral50
I Hate U;28;31/12/2021;SZA;viral50
Beverly Hills;29;31/12/2021;Shaboozey;viral50
The Family Madrigal;30;31/12/2021;Stephanie Beatriz, Olga Merediz, Encanto - Cast;viral50
Own Brand Freestyle;31;31/12/2021;FelixThe1st, Dreya Mac, Finch Fetti;viral50
3 BIG BALLS;32;31/12/2021;DigBarGayRaps;viral50
Super Gremlin;33;31/12/2021;Kodak Black;viral50
Happier Than Ever;34;31/12/2021;ASTN;viral50
My Humps;35;31/12/2021;Joshwa, Lee Foss;viral50
Fairytale of New York (feat. Kirsty MacColl);36;31/12/2021;The Pogues;viral50
The Perfect Girl;37;31/12/2021;Mareux;viral50
Pope Is a Rockstar;38;31/12/2021;SALES;viral50
One Way!;39;31/12/2021;Autumn!;viral50
Boho Days;40;31/12/2021;Andrew Garfield, Robin de Jesus, Alexandra Shipp, Joshua Henry, Vanessa Hudgens;viral50
Cpr;41;31/12/2021;cupcakKe;viral50
Always Been You;42;31/12/2021;Jessie Murph;viral50
Dear God (feat. Kevin Gates);43;31/12/2021;FL Dusa;viral50
Underground;44;31/12/2021;Cody Fry;viral50
La Espada;45;31/12/2021;Eternal Raijin;viral50
BACKROOM;46;31/12/2021;Mike Dimes;viral50
Coconuts;47;31/12/2021;Kim Petras;viral50
No Te Deseo el Mal;48;31/12/2021;Eladio Carrion, KAROL G;viral50
Two Oruguitas;49;31/12/2021;Sebastian Yatra;viral50
Jesus Is The One (I Got Depression);50;31/12/2021;Zack Fox, Kenny Beats;viral50
Heat Waves;1;31/12/2021;Glass Animals;top200
INDUSTRY BABY (feat. Jack Harlow);2;31/12/2021;Lil Nas X;top200
STAY (with Justin Bieber);3;31/12/2021;The Kid LAROI;top200
We Don't Talk About Bruno;4;31/12/2021;Carolina Gaitán - La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz, Encanto - Cast;top200
abcdefu;5;31/12/2021;GAYLE;top200
Super Gremlin;6;31/12/2021;Kodak Black;top200
Easy On Me;7;31/12/2021;Adele;top200
good 4 u;8;31/12/2021;Olivia Rodrigo;top200
Broadway Girls (feat. Morgan Wallen);9;31/12/2021;Lil Durk;top200
Kiss Me More (feat. SZA);10;31/12/2021;Doja Cat;top200
Need to Know;11;31/12/2021;Doja Cat;top200
Enemy (with JID) - from the series Arcane League of Legends;12;31/12/2021;Imagine Dragons;top200
Cold Heart - PNAU Remix;13;31/12/2021;Elton John, Dua Lipa;top200
Surface Pressure;14;31/12/2021;Jessica Darrow;top200
I Hate U;15;31/12/2021;SZA;top200
Knife Talk (with 21 Savage ft. Project Pat);16;31/12/2021;Drake;top200
Woman;17;31/12/2021;Doja Cat;top200
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault);18;31/12/2021;Taylor Swift;top200
Smokin Out The Window;19;31/12/2021;Bruno Mars, Anderson .Paak, Silk Sonic;top200
Shivers;20;31/12/2021;Ed Sheeran;top200
Better Days (NEIKED x Mae Muller x Polo G);21;31/12/2021;NEIKED;top200
family ties (with Kendrick Lamar);22;31/12/2021;Baby Keem;top200
Dark Red;23;31/12/2021;Steve Lacy;top200
