title; rank; date; artist; chart
Prom Night;1;01/04/2021;Riovaz;viral50
YKWIM?;2;01/04/2021;Yot Club;viral50
I Hear a Symphony;3;01/04/2021;Cody Fry;viral50
Leave The Door Open;4;01/04/2021;Bruno Mars, Anderson .Paak, Silk Sonic;viral50
Baby My Phone;5;01/04/2021;Yameii Online;viral50
Track Star;6;01/04/2021;Mooski;viral50
Cloud 9;7;01/04/2021;Beach Bunny;viral50
Jelly;8;01/04/2021;Big Homie Ty.Ni;viral50
Astronaut In The Ocean;9;01/04/2021;Masked Wolf;viral50
Sometimes (Backwood);10;01/04/2021;gigi;viral50
telepatía;11;01/04/2021;Kali Uchis;viral50
Romeo & Juliet;12;01/04/2021;Peter McPoland;viral50
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit;13;01/04/2021;Riton, Nightcrawlers;viral50
Turn Back Time;14;01/04/2021;Derivakat;viral50
Till Forever Falls Apart;15;01/04/2021;Ashe, FINNEAS;viral50
Heartbreak Anniversary;16;01/04/2021;Giveon;viral50
Fiel;17;01/04/2021;Los Legendarios, Wisin, Jhay Cortez;viral50
Slumber Party (feat. Princess Nokia);18;01/04/2021;Ashnikko;viral50
Rollin';19;01/04/2021;Brave Girls;viral50
Serotonin;20;01/04/2021;girl in red;viral50
Cupid's Chokehold / Breakfast in America;21;01/04/2021;Gym Class Heroes;viral50
Better Than You’re Used To;22;01/04/2021;Tyler Rich;viral50
Drunk (And I Don't Wanna Go Home);23;01/04/2021;Elle King, Miranda Lambert;viral50
Whats Poppin (feat. DaBaby & Tory Lanez & Lil Wayne) [Remix] - Bonus Track;24;01/04/2021;Kimiko Glenn, Jessie Mueller, Keala Settle, Waitress Original Broadway Cast Ensemble;viral50
en el Refuego;25;01/04/2021;Grupo Diez 4tro;viral50
SugarCrash!;26;01/04/2021;ElyOtto;viral50
CHICKEN TENDIES;27;01/04/2021;Clinton Kane;viral50
Batman;28;01/04/2021;LPB Poody;viral50
Tokyo;29;01/04/2021;Leat'eq;viral50
Hold On;30;01/04/2021;Justin Bieber;viral50
Beautiful Mistakes (feat. Megan Thee Stallion);31;01/04/2021;Maroon 5;viral50
Best Friend (feat. Doja Cat);32;01/04/2021;Saweetie;viral50
Please Don't Go;33;01/04/2021;Mike Posner;viral50
Boku no Sensou;34;01/04/2021;Shinsei Kamattechan;viral50
Renai Circulation (English Cover) [2012 TV Size];35;01/04/2021;Lizz Robinett, L-Train, Y. Chang;viral50
Wellerman - Sea Shanty / 220 KID x Billen Ted Remix;36;01/04/2021;Nathan Evans;viral50
Моя голова винтом (My head is spinning like a screw);37;01/04/2021;kostromin;viral50
The Adults Are Talking;38;01/04/2021;The Strokes;viral50
I Bet on Losing Dogs;39;01/04/2021;Mitski;viral50
Beat Box 3 (feat. DaBaby);40;01/04/2021;SpotemGottem;viral50
Ella No Es Tuya - Remix;41;01/04/2021;Rochy RD, Myke Towers, Nicki Nicole;viral50
Hellcats & Trackhawks;42;01/04/2021;Only The Family, Lil Durk;viral50
No More Parties - Remix;43;01/04/2021;Coi Leray, Lil Durk;viral50
Everybody Wants To Party;44;01/04/2021;Dubdogz, JØRD;viral50
Knock Knock;45;01/04/2021;SoFaygo;viral50
Be Sweet;46;01/04/2021;Japanese Breakfast;viral50
Case Closed;47;01/04/2021;Young Dolph, Key Glock;viral50
Deceptacon;48;01/04/2021;Le Tigre;viral50
Heat Waves;49;01/04/2021;Glass Animals;viral50
Unlock it (Lock It) - feat. Kim Petras and Jay Park;50;01/04/2021;Charli XCX;viral50
Prom Night;1;02/04/2021;Riovaz;viral50
YKWIM?;2;02/04/2021;Yot Club;viral50
I Hear a Symphony;3;02/04/2021;Cody Fry;viral50
Leave The Door Open;4;02/04/2021;Bruno Mars, Anderson .Paak, Silk Sonic;viral50
Baby My Phone;5;02/04/2021;Yameii Online;viral50
Track Star;6;02/04/2021;Mooski;viral50
Cloud 9;7;02/04/2021;Beach Bunny;viral50
Jelly;8;02/04/2021;Big Homie Ty.Ni;viral50
Astronaut In The Ocean;9;02/04/2021;Masked Wolf;viral50
Sometimes (Backwood);10;02/04/2021;gigi;viral50
telepatía;11;02/04/2021;Kali Uchis;viral50
Romeo & Juliet;12;02/04/2021;Peter McPoland;viral50
Fiel;13;02/04/2021;Los Legendarios, Wisin, Jhay Cortez;viral50
Turn Back Time;14;02/04/2021;Derivakat;viral50
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit;15;02/04/2021;Riton, Nightcrawlers;viral50
Till Forever Falls Apart;16;02/04/2021;Ashe, FINNEAS;viral50
Heartbreak Anniversary;17;02/04/2021;Giveon;viral50
Slumber Party (feat. Princess Nokia);18;02/04/2021;Ashnikko;viral50
Rollin';19;02/04/2021;Brave Girls;viral50
Better Than You’re Used To;20;02/04/2021;Tyler Rich;viral50
Drunk (And I Don't Wanna Go Home);21;02/04/2021;Elle King, Miranda Lambert;viral50
Serotonin;22;02/04/2021;girl in red;viral50
Cupid's Chokehold / Breakfast in America;23;02/04/2021;Gym Class Heroes;viral50
en el Refuego;24;02/04/2021;Grupo Diez 4tro;viral50
Batman;25;02/04/2021;LPB Poody;viral50
Tokyo;26;02/04/2021;Leat'eq;viral50
SugarCrash!;27;02/04/2021;ElyOtto;viral50
CHICKEN TENDIES;28;02/04/2021;Clinton Kane;viral50
When He Sees Me;29;02/04/2021;Kimiko Glenn, Jessie Mueller, Keala Settle, Waitress Original Broadway Cast Ensemble;viral50
Best Friend (feat. Doja Cat);30;02/04/2021;Saweetie;viral50
Beautiful Mistakes (feat. Megan Thee Stallion);31;02/04/2021;Maroon 5;viral50
Boku no Sensou;32;02/04/2021;Shinsei Kamattechan;viral50
Renai Circulation (English Cover) [2012 TV Size];33;02/04/2021;Lizz Robinett, L-Train, Y. Chang;viral50
Hold On;34;02/04/2021;Justin Bieber;viral50
Please Don't Go;35;02/04/2021;Mike Posner;viral50
Wellerman - Sea Shanty / 220 KID x Billen Ted Remix;36;02/04/2021;Nathan Evans;viral50
Beat Box 3 (feat. DaBaby);37;02/04/2021;SpotemGottem;viral50
The Adults Are Talking;38;02/04/2021;The Strokes;viral50
Моя голова винтом (My head is spinning like a screw);39;02/04/2021;kostromin;viral50
Hellcats & Trackhawks;40;02/04/2021;Only The Family, Lil Durk;viral50
I Bet on Losing Dogs;41;02/04/2021;Mitski;viral50
Be Sweet;42;02/04/2021;Japanese Breakfast;viral50
No More Parties - Remix;43;02/04/2021;Coi Leray, Lil Durk;viral50
Everybody Wants To Party;44;02/04/2021;Dubdogz, JØRD;viral50
Knock Knock;45;02/04/2021;SoFaygo;viral50
Ella No Es Tuya - Remix;46;02/04/2021;Rochy RD, Myke Towers, Nicki Nicole;viral50
Heat Waves;47;02/04/2021;Glass Animals;viral50
Deceptacon;48;02/04/2021;Le Tigre;viral50
Unlock it (Lock It) - feat. Kim Petras and Jay Park;49;02/04/2021;Charli XCX;viral50
After Dark;50;02/04/2021;Mr.Kitty;viral50
