title; rank; date; artist; chart
Diamond in the rough;1;01/08/2021;Arik Ancelin;viral50
FVN!;2;01/08/2021;LVL1;viral50
FMRN;3;01/08/2021;Lilyisthatyou;viral50
Smells Like Teen Spirit;4;01/08/2021;Malia J;viral50
Everywhereigo;5;01/08/2021;Babyxsosa;viral50
Beggin';6;01/08/2021;Måneskin;viral50
Fancy Like;7;01/08/2021;Walker Hayes;viral50
Bezos I;8;01/08/2021;Bo Burnham;viral50
I Used to Care;9;01/08/2021;Louyah;viral50
I Miss The Rage - Majetso Remix;10;01/08/2021;Majetso Mixer, Mario Judah;viral50
Duvet;11;01/08/2021;bôa;viral50
Pepas;12;01/08/2021;Farruko;viral50
GYALIS;13;01/08/2021;Capella Grey;viral50
Talk 2 Me;14;01/08/2021;Racki Diorr;viral50
Beethoven;15;01/08/2021;Kenndog;viral50
My Potna Dem;16;01/08/2021;$ilkMoney;viral50
County Line;17;01/08/2021;Chase Matthew;viral50
Pain;18;01/08/2021;PinkPantheress;viral50
rises the moon;19;01/08/2021;Liana Flores;viral50
I WANNA BE YOUR SLAVE;20;01/08/2021;Måneskin;viral50
Passion;21;01/08/2021;PinkPantheress;viral50
Loverboy;22;01/08/2021;A-Wall;viral50
Love Tonight - David Guetta Remix Edit;23;01/08/2021;Shouse;viral50
Am I The Only One;24;01/08/2021;Aaron Lewis;viral50
Love Tonight - Edit;25;01/08/2021;Shouse;viral50
Ride the Lightning - 717 Tapes;26;01/08/2021;Warren Zeiders;viral50
Ain't Shit;27;01/08/2021;Doja Cat;viral50
As the World Caves In;28;01/08/2021;Sarah Cothran;viral50
Renegade (feat. Taylor Swift);29;01/08/2021;Big Red Machine;viral50
Tiroteo - Remix;30;01/08/2021;Marc Seguí, Rauw Alejandro, Pol Granch;viral50
Headshots (4r Da Locals);31;01/08/2021;Isaiah Rashad;viral50
double take;32;01/08/2021;dhruv;viral50
Antisocial;33;01/08/2021;Slump6s, BabySantana;viral50
Touchable;34;01/08/2021;Remble;viral50
OK Cool (Bonus);35;01/08/2021;CEO Trayle;viral50
in heat.;36;01/08/2021;Hentai Xander;viral50
Essence (feat. Tems);37;01/08/2021;WizKid;viral50
Fahrradsattel;38;01/08/2021;Pisse;viral50
2055;39;01/08/2021;Sleepy Hallow;viral50
Pears;40;01/08/2021;Weston Estate;viral50
Antisocial 2;41;01/08/2021;BabySantana, Slump6s, Yung Fazo, Xhulooo, SSGKobe;viral50
Shit;42;01/08/2021;Bo Burnham;viral50
Running Away;43;01/08/2021;VANO 3000, BADBADNOTGOOD, Samuel T. Herring;viral50
Bad Habits;44;01/08/2021;Ed Sheeran;viral50
Welcome to the Internet;45;01/08/2021;Bo Burnham;viral50
All Eyes On Me - Song Only;46;01/08/2021;Bo Burnham;viral50
Not Around;47;01/08/2021;Nova;viral50
Buy Dirt;48;01/08/2021;Jordan Davis, Luke Bryan;viral50
Mónaco;49;01/08/2021;LAGOS, Danny Ocean;viral50
Rick & Morty;50;01/08/2021;Soulja Boy;viral50
Diamond in the rough;1;02/08/2021;Arik Ancelin;viral50
FVN!;2;02/08/2021;LVL1;viral50
Not Into You;3;02/08/2021;Brooksie;viral50
FMRN;4;02/08/2021;Lilyisthatyou;viral50
Everywhereigo;5;02/08/2021;Babyxsosa;viral50
Smells Like Teen Spirit;6;02/08/2021;Malia J;viral50
París;7;02/08/2021;Ingratax;viral50
STAY (with Justin Bieber);8;02/08/2021;The Kid LAROI;viral50
Fancy Like;9;02/08/2021;Walker Hayes;viral50
Pepas;10;02/08/2021;Farruko;viral50
Bezos I;11;02/08/2021;Bo Burnham;viral50
Beethoven;12;02/08/2021;Kenndog;viral50
Beggin';13;02/08/2021;Måneskin;viral50
Duvet;14;02/08/2021;bôa;viral50
I Miss The Rage - Majetso Remix;15;02/08/2021;Majetso Mixer, Mario Judah;viral50
County Line;16;02/08/2021;Chase Matthew;viral50
GYALIS;17;02/08/2021;Capella Grey;viral50
Pain;18;02/08/2021;PinkPantheress;viral50
Love Tonight - David Guetta Remix Edit;19;02/08/2021;Shouse;viral50
Adding;20;02/08/2021;Yung Fazo, SoFaygo;viral50
My Potna Dem;21;02/08/2021;$ilkMoney;viral50
Loverboy;22;02/08/2021;A-Wall;viral50
Passion;23;02/08/2021;PinkPantheress;viral50
Talk 2 Me;24;02/08/2021;Racki Diorr;viral50
