title; rank; date; artist; chart
abcdefu;1;01/12/2021;GAYLE;viral50
Own Brand Freestyle;2;01/12/2021;FelixThe1st, Dreya Mac, Finch Fetti;viral50
Come Over (Again);3;01/12/2021;Crawlers;viral50
"30/90 (from ""tick tick... BOOM!"" Soundtrack from the Netflix Film)";4;01/12/2021;Andrew Garfield, Joshua Henry, Vanessa Hudgens, Robin de Jesus, Alexandra Shipp, MJ Rodriguez;viral50
Misery Meat;5;01/12/2021;Sodikken;viral50
abcdefu (angrier);6;01/12/2021;GAYLE;viral50
3 BIG BALLS;7;01/12/2021;DigBarGayRaps;viral50
i won't run;8;01/12/2021;Keanu Bicol;viral50
SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy);9;01/12/2021;Amaarae;viral50
Do It To It;10;01/12/2021;ACRAZE, Cherish;viral50
Chandelier;11;01/12/2021;Will Paquin;viral50
4:00A.M.;12;01/12/2021;Taeko Onuki;viral50
The Thanksgiving Song;13;01/12/2021;Adam Sandler;viral50
Notion;14;01/12/2021;The Rare Occasions;viral50
Alice's Restaurant Massacree;15;01/12/2021;Arlo Guthrie;viral50
LOST IN PARADISE;16;01/12/2021;ALI, AKLO;viral50
Cpr;17;01/12/2021;cupcakKe;viral50
Goodbye (from the series Arcane League of Legends);18;01/12/2021;Ramsey;viral50
Я буду ебать;19;01/12/2021;Moreart, IHI;viral50
Nothing;20;01/12/2021;Bruno Major;viral50
The Perfect Girl;21;01/12/2021;Mareux;viral50
Fall in Love with You.;22;01/12/2021;Montell Fish;viral50
Smokin Out The Window;23;01/12/2021;Bruno Mars, Anderson .Paak, Silk Sonic;viral50
Enemy (with JID) - from the series Arcane League of Legends;24;01/12/2021;Imagine Dragons;viral50
Seventeen Going Under;25;01/12/2021;Sam Fender;viral50
Alien Blues;26;01/12/2021;Vundabar;viral50
all I want is you;27;01/12/2021;Rebzyyx, hoshie star;viral50
Toxic;28;01/12/2021;BoyWithUke;viral50
5 Percent;29;01/12/2021;Roddy P;viral50
Mon Amour - Remix;30;01/12/2021;zzoilo, Aitana;viral50
Want me (OFFCIAL) - 2021 TikTok version;31;01/12/2021;Cl4pers, KingMichealbeats;viral50
Fairytale of New York (feat. Kirsty MacColl);32;01/12/2021;The Pogues;viral50
Nuestra Canción;33;01/12/2021;Monsieur Periné, Vicente Garcia;viral50
The Dress;34;01/12/2021;Dijon;viral50
Cherry Wine;35;01/12/2021;grentperez;viral50
Treehouse;36;01/12/2021;orangutan;viral50
Easy On Me;37;01/12/2021;Adele;viral50
Stalker's Tango;38;01/12/2021;Autoheart;viral50
Better Days (NEIKED x Mae Muller x Polo G);39;01/12/2021;NEIKED;viral50
GHOST TOWN;40;01/12/2021;Benson Boone;viral50
masquerade;41;01/12/2021;siouxxie sixxsta;viral50
I Love You So;42;01/12/2021;The Walters;viral50
