title; rank; date; artist; chart
Hadal Ahbek;1;01/02/2021;Issam Alnajjar;viral50
It's Okay To Cry;2;01/02/2021;SOPHIE;viral50
drivers license;3;01/02/2021;Olivia Rodrigo;viral50
I Am (feat. Flo Milli);4;01/02/2021;Yung Baby Tate, Slade Da Monsta;viral50
Immaterial;5;01/02/2021;SOPHIE;viral50
I'm not Pretty;6;01/02/2021;JESSIA;viral50
ROLLIN N CONTROLLIN FREESTYLE;7;01/02/2021;DUSTY LOCANE;viral50
Best Friend (feat. Doja Cat);8;01/02/2021;Saweetie;viral50
Wellerman;9;01/02/2021;The Longest Johns;viral50
Violent;10;01/02/2021;carolesdaughter;viral50
Faceshopping;11;01/02/2021;SOPHIE;viral50
Paparazzi;12;01/02/2021;Kim Dracula;viral50
Pierre;13;01/02/2021;Ryn Weaver;viral50
Good Days;14;01/02/2021;SZA;viral50
Ponyboy;15;01/02/2021;SOPHIE;viral50
agoraphobic;16;01/02/2021;CORPSE;viral50
Mi Trokita Cumbia;17;01/02/2021;Obzesion;viral50
Wildest Dreams;18;01/02/2021;Duomo;viral50
Streets;19;01/02/2021;Doja Cat;viral50
Rolando (Caught In The Rain);20;01/02/2021;DUSTY LOCANE;viral50
Come Back Home;21;01/02/2021;Petey Martin, Lauren Daigle;viral50
Beat Box 2;22;01/02/2021;SpotemGottem, Pooh Shiesty;viral50
Astronaut In The Ocean;23;01/02/2021;Masked Wolf;viral50
Faygo Dreams;24;01/02/2021;6 Dogs;viral50
Wasted On You;25;01/02/2021;Morgan Wallen;viral50
Flames (feat. Avril Lavigne);26;01/02/2021;MOD SUN;viral50
Dicked Down in Dallas;27;01/02/2021;Trey Lewis;viral50
oops!;28;01/02/2021;Yung Gravy;viral50
play w/ me;29;01/02/2021;Bailey Bryan;viral50
Mmmh;30;01/02/2021;KAI;viral50
Buss It;31;01/02/2021;Erica Banks;viral50
Sand In My Boots;32;01/02/2021;Morgan Wallen;viral50
On It;33;01/02/2021;Jazmine Sullivan, Ari Lennox;viral50
Beat Box;34;01/02/2021;SpotemGottem;viral50
Close To You;35;01/02/2021;Dayglow;viral50
Bones in the Ocean;36;01/02/2021;The Longest Johns;viral50
Villain;37;01/02/2021;Lily Rose;viral50
Road Of The Lonely Ones;38;01/02/2021;Madlib;viral50
Boku no Sensou - TV Size;39;01/02/2021;Shinsei Kamattechan;viral50
Your New Boyfriend;40;01/02/2021;Wilbur Soot;viral50
Can You Feel My Heart;41;01/02/2021;Bring Me The Horizon;viral50
Back In Blood (feat. Lil Durk);42;01/02/2021;Pooh Shiesty;viral50
Save Your Tears;43;01/02/2021;The Weeknd;viral50
Anyone;44;01/02/2021;Justin Bieber;viral50
Hecha Pa' Mi;45;01/02/2021;Boza;viral50
Touch You;46;01/02/2021;遠野高志, 加島優, 矢口恭介, ジミー, 百合絢斗, 田村唯, 明美圭一, 糸目幸士郎, 鹿谷樹;viral50
Zanzibar;47;01/02/2021;Billy Joel;viral50
Found It in You;48;01/02/2021;Tiera;viral50
Chemtrails Over The Country Club;49;01/02/2021;Lana Del Rey;viral50
Quicksand;50;01/02/2021;Morray;viral50
Hadal Ahbek;1;02/02/2021;Issam Alnajjar;viral50
It's Okay To Cry;2;02/02/2021;SOPHIE;viral50
Immaterial;3;02/02/2021;SOPHIE;viral50
I Am (feat. Flo Milli);4;02/02/2021;Yung Baby Tate, Slade Da Monsta;viral50
drivers license;5;02/02/2021;Olivia Rodrigo;viral50
I'm not Pretty;6;02/02/2021;JESSIA;viral50
ROLLIN N CONTROLLIN FREESTYLE;7;02/02/2021;DUSTY LOCANE;viral50
Best Friend (feat. Doja Cat);8;02/02/2021;Saweetie;viral50
Faceshopping;9;02/02/2021;SOPHIE;viral50
Wellerman;10;02/02/2021;The Longest Johns;viral50
Violent;11;02/02/2021;carolesdaughter;viral50
Paparazzi;12;02/02/2021;Kim Dracula;viral50
Pierre;13;02/02/2021;Ryn Weaver;viral50
agoraphobic;14;02/02/2021;CORPSE;viral50
Good Days;15;02/02/2021;SZA;viral50
Ponyboy;16;02/02/2021;SOPHIE;viral50
Mi Trokita Cumbia;17;02/02/2021;Obzesion;viral50
Streets;18;02/02/2021;Doja Cat;viral50
Wildest Dreams;19;02/02/2021;Duomo;viral50
Rolando (Caught In The Rain);20;02/02/2021;DUSTY LOCANE;viral50
Come Back Home;21;02/02/2021;Petey Martin, Lauren Daigle;viral50
Beat Box 2;22;02/02/2021;SpotemGottem, Pooh Shiesty;viral50
Astronaut In The Ocean;23;02/02/2021;Masked Wolf;viral50
Wasted On You;24;02/02/2021;Morgan Wallen;viral50
Flames (feat. Avril Lavigne);25;02/02/2021;MOD SUN;viral50
Dicked Down in Dallas;26;02/02/2021;Trey Lewis;viral50
oops!;27;02/02/2021;Yung Gravy;viral50
Mmmh;28;02/02/2021;KAI;viral50
play w/ me;29;02/02/2021;Bailey Bryan;viral50
Buss It;30;02/02/2021;Erica Banks;viral50
Sand In My Boots;31;02/02/2021;Morgan Wallen;viral50
Road Of The Lonely Ones;32;02/02/2021;Madlib;viral50
On It;33;02/02/2021;Jazmine Sullivan, Ari Lennox;viral50
Bones in the Ocean;34;02/02/2021;The Longest Johns;viral50
Close To You;35;02/02/2021;Dayglow;viral50
Boku no Sensou - TV Size;36;02/02/2021;Shinsei Kamattechan;viral50
Villain;37;02/02/2021;Lily Rose;viral50
Beat Box;38;02/02/2021;SpotemGottem;viral50
Back In Blood (feat. Lil Durk);39;02/02/2021;Pooh Shiesty;viral50
Your New Boyfriend;40;02/02/2021;Wilbur Soot;viral50
Found It in You;41;02/02/2021;Tiera;viral50
Save Your Tears;42;02/02/2021;The Weeknd;viral50
Can You Feel My Heart;43;02/02/2021;Bring Me The Horizon;viral50
Hecha Pa' Mi;44;02/02/2021;Boza;viral50
Anyone;45;02/02/2021;Justin Bieber;viral50
Touch You;46;02/02/2021;遠野高志, 加島優, 矢口恭介, ジミー, 百合絢斗, 田村唯, 明美圭一, 糸目幸士郎, 鹿谷樹;viral50
Zanzibar;47;02/02/2021;Billy Joel;viral50
Heat Waves;48;02/02/2021;Glass Animals;viral50
Quicksand;49;02/02/2021;Morray;viral50
Chemtrails Over The Country Club;50;02/02/2021;Lana Del Rey;viral50
Hadal Ahbek;1;03/02/2021;Issam Alnajjar;viral50
It's Okay To Cry;2;03/02/2021;SOPHIE;viral50
Immaterial;3;03/02/2021;SOPHIE;viral50
drivers license;4;03/02/2021;Olivia Rodrigo;viral50
I Am (feat. Flo Milli);5;03/02/2021;Yung Baby Tate, Slade Da Monsta;viral50
I'm not Pretty;6;03/02/2021;JESSIA;viral50
ROLLIN N CONTROLLIN FREESTYLE;7;03/02/2021;DUSTY LOCANE;viral50
Best Friend (feat. Doja Cat);8;03/02/2021;Saweetie;viral50
Do A Bitch;9;03/02/2021;Kali;viral50
Faceshopping;10;03/02/2021;SOPHIE;viral50
Violent;11;03/02/2021;carolesdaughter;viral50
Wellerman;12;03/02/2021;The Longest Johns;viral50
Paparazzi;13;03/02/2021;Kim Dracula;viral50
Pierre;14;03/02/2021;Ryn Weaver;viral50
agoraphobic;15;03/02/2021;CORPSE;viral50
Ponyboy;16;03/02/2021;SOPHIE;viral50
Good Days;17;03/02/2021;SZA;viral50
Mi Trokita Cumbia;18;03/02/2021;Obzesion;viral50
Streets;19;03/02/2021;Doja Cat;viral50
Wildest Dreams;20;03/02/2021;Duomo;viral50
Rolando (Caught In The Rain);21;03/02/2021;DUSTY LOCANE;viral50
Come Back Home;22;03/02/2021;Petey Martin, Lauren Daigle;viral50
Beat Box 2 (feat. Pooh Shiesty);23;03/02/2021;SpotemGottem;viral50
Astronaut In The Ocean;24;03/02/2021;Masked Wolf;viral50
Wasted On You;25;03/02/2021;Morgan Wallen;viral50
Flames (feat. Avril Lavigne);26;03/02/2021;MOD SUN;viral50
Dicked Down in Dallas;27;03/02/2021;Trey Lewis;viral50
Mmmh;28;03/02/2021;KAI;viral50
oops!;29;03/02/2021;Yung Gravy;viral50
Buss It;30;03/02/2021;Erica Banks;viral50
Road Of The Lonely Ones;31;03/02/2021;Madlib;viral50
Sand In My Boots;32;03/02/2021;Morgan Wallen;viral50
play w/ me;33;03/02/2021;Bailey Bryan;viral50
Bones in the Ocean;34;03/02/2021;The Longest Johns;viral50
On It;35;03/02/2021;Jazmine Sullivan, Ari Lennox;viral50
Back In Blood (feat. Lil Durk);36;03/02/2021;Pooh Shiesty;viral50
Boku no Sensou - TV Size;37;03/02/2021;Shinsei Kamattechan;viral50
Close To You;38;03/02/2021;Dayglow;viral50
Villain;39;03/02/2021;Lily Rose;viral50
Found It in You;40;03/02/2021;Tiera;viral50
Your New Boyfriend;41;03/02/2021;Wilbur Soot;viral50
Save Your Tears;42;03/02/2021;The Weeknd;viral50
Beat Box;43;03/02/2021;SpotemGottem;viral50
Hecha Pa' Mi;44;03/02/2021;Boza;viral50
Anyone;45;03/02/2021;Justin Bieber;viral50
Can You Feel My Heart;46;03/02/2021;Bring Me The Horizon;viral50
Heat Waves;47;03/02/2021;Glass Animals;viral50
Touch You;48;03/02/2021;遠野高志, 加島優, 矢口恭介, ジミー, 百合絢斗, 田村唯, 明美圭一, 糸目幸士郎, 鹿谷樹;viral50
Zanzibar;49;03/02/2021;Billy Joel;viral50
Long Haul;50;03/02/2021;Ian Munsick;viral50
Hadal Ahbek;1;04/02/2021;Issam Alnajjar;viral50
It's Okay To Cry;2;04/02/2021;SOPHIE;viral50
Immaterial;3;04/02/2021;SOPHIE;viral50
drivers license;4;04/02/2021;Olivia Rodrigo;viral50
I Am (feat. Flo Milli);5;04/02/2021;Yung Baby Tate, Slade Da Monsta;viral50
ROLLIN N CONTROLLIN FREESTYLE;6;04/02/2021;DUSTY LOCANE;viral50
I'm not Pretty;7;04/02/2021;JESSIA;viral50
Do A Bitch;8;04/02/2021;Kali;viral50
Best Friend (feat. Doja Cat);9;04/02/2021;Saweetie;viral50
Faceshopping;10;04/02/2021;SOPHIE;viral50
Go Bestfriend;11;04/02/2021;$hyfromdatre;viral50
Violent;12;04/02/2021;carolesdaughter;viral50
Wellerman;13;04/02/2021;The Longest Johns;viral50
Pierre;14;04/02/2021;Ryn Weaver;viral50
Paparazzi;15;04/02/2021;Kim Dracula;viral50
agoraphobic;16;04/02/2021;CORPSE;viral50
Ponyboy;17;04/02/2021;SOPHIE;viral50
Good Days;18;04/02/2021;SZA;viral50
Mi Trokita Cumbia;19;04/02/2021;Obzesion;viral50
Streets;20;04/02/2021;Doja Cat;viral50
Wildest Dreams;21;04/02/2021;Duomo;viral50
Rolando (Caught In The Rain);22;04/02/2021;DUSTY LOCANE;viral50
Come Back Home;23;04/02/2021;Petey Martin, Lauren Daigle;viral50
Astronaut In The Ocean;24;04/02/2021;Masked Wolf;viral50
Beat Box 2 (feat. Pooh Shiesty);25;04/02/2021;SpotemGottem;viral50
Wasted On You;26;04/02/2021;Morgan Wallen;viral50
Dicked Down in Dallas;27;04/02/2021;Trey Lewis;viral50
Flames (feat. Avril Lavigne);28;04/02/2021;MOD SUN;viral50
Mmmh;29;04/02/2021;KAI;viral50
Road Of The Lonely Ones;30;04/02/2021;Madlib;viral50
Knock Knock;31;04/02/2021;SoFaygo;viral50
oops!;32;04/02/2021;Yung Gravy;viral50
Sand In My Boots;33;04/02/2021;Morgan Wallen;viral50
Buss It;34;04/02/2021;Erica Banks;viral50
Bones in the Ocean;35;04/02/2021;The Longest Johns;viral50
Back In Blood (feat. Lil Durk);36;04/02/2021;Pooh Shiesty;viral50
Boku no Sensou - TV Size;37;04/02/2021;Shinsei Kamattechan;viral50
Close To You;38;04/02/2021;Dayglow;viral50
On It;39;04/02/2021;Jazmine Sullivan, Ari Lennox;viral50
Villain;40;04/02/2021;Lily Rose;viral50
Save Your Tears;41;04/02/2021;The Weeknd;viral50
Your New Boyfriend;42;04/02/2021;Wilbur Soot;viral50
Found It in You;43;04/02/2021;Tiera;viral50
Beat Box;44;04/02/2021;SpotemGottem;viral50
Hecha Pa' Mi;45;04/02/2021;Boza;viral50
Anyone;46;04/02/2021;Justin Bieber;viral50
play w/ me;47;04/02/2021;Bailey Bryan;viral50
Heat Waves;48;04/02/2021;Glass Animals;viral50
Touch You;49;04/02/2021;遠野高志, 加島優, 矢口恭介, ジミー, 百合絢斗, 田村唯, 明美圭一, 糸目幸士郎, 鹿谷樹;viral50
Can You Feel My Heart;50;04/02/2021;Bring Me The Horizon;viral50
Hadal Ahbek;1;05/02/2021;Issam Alnajjar;viral50
It's Okay To Cry;2;05/02/2021;SOPHIE;viral50
Immaterial;3;05/02/2021;SOPHIE;viral50
ROLLIN N CONTROLLIN FREESTYLE;4;05/02/2021;DUSTY LOCANE;viral50
drivers license;5;05/02/2021;Olivia Rodrigo;viral50
I Am (feat. Flo Milli);6;05/02/2021;Yung Baby Tate, Slade Da Monsta;viral50
I'm not Pretty;7;05/02/2021;JESSIA;viral50
Do A Bitch;8;05/02/2021;Kali;viral50
Best Friend (feat. Doja Cat);9;05/02/2021;Saweetie;viral50
Faceshopping;10;05/02/2021;SOPHIE;viral50
SugarCrash!;11;05/02/2021;ElyOtto;viral50
Violent;12;05/02/2021;carolesdaughter;viral50
Go Bestfriend;13;05/02/2021;$hyfromdatre;viral50
Wellerman;14;05/02/2021;The Longest Johns;viral50
Pierre;15;05/02/2021;Ryn Weaver;viral50
Paparazzi;16;05/02/2021;Kim Dracula;viral50
Ponyboy;17;05/02/2021;SOPHIE;viral50
Mi Trokita Cumbia;18;05/02/2021;Obzesion;viral50
Good Days;19;05/02/2021;SZA;viral50
Streets;20;05/02/2021;Doja Cat;viral50
Rolando (Caught In The Rain);21;05/02/2021;DUSTY LOCANE;viral50
Astronaut In The Ocean;22;05/02/2021;Masked Wolf;viral50
Wildest Dreams;23;05/02/2021;Duomo;viral50
agoraphobic;24;05/02/2021;CORPSE;viral50
Come Back Home;25;05/02/2021;Petey Martin, Lauren Daigle;viral50
