title; rank; date; artist; chart
Dicked Down in Dallas;1;01/01/2021;Trey Lewis;viral50
Mayonaka no Door / Stay With Me;2;01/01/2021;Miki Matsubara;viral50
Violent;3;01/01/2021;carolesdaughter;viral50
Quicksand;4;01/01/2021;Morray;viral50
Sensitive;5;01/01/2021;Serena Isioma;viral50
space girl;6;01/01/2021;Frances Forever;viral50
Mmmh;7;01/01/2021;KAI;viral50
Doomsday;8;01/01/2021;MF DOOM, Pebbles The Invisible Girl;viral50
Hayloft;9;01/01/2021;Mother Mother;viral50
WITHOUT YOU;10;01/01/2021;The Kid LAROI;viral50
Hailey;11;01/01/2021;WRENN;viral50
Goosebumps;12;01/01/2021;HVME;viral50
Given-Taken;13;01/01/2021;ENHYPEN;viral50
Touch You;14;01/01/2021;遠野高志, 加島優, 矢口恭介, ジミー, 百合絢斗, 田村唯, 明美圭一, 糸目幸士郎, 鹿谷樹;viral50
All Caps;15;01/01/2021;Madvillain, Madlib, MF DOOM;viral50
Accordion;16;01/01/2021;Madvillain, Madlib, MF DOOM;viral50
Rät;17;01/01/2021;Penelope Scott;viral50
Rapp Snitch Knishes (feat. Mr. Fantastik);18;01/01/2021;MF DOOM, Mr Fantastik;viral50
Leave Some Day;19;01/01/2021;Kevo Muney;viral50
E-GIRLS ARE RUINING MY LIFE!;20;01/01/2021;CORPSE, Savage Ga$p;viral50
Whoopty;21;01/01/2021;CJ;viral50
廻廻奇譚;22;01/01/2021;Eve;viral50
Bang Bang Bang Bang;23;01/01/2021;Sohodolls;viral50
Babooshka - 2018 Remaster;24;01/01/2021;Kate Bush;viral50
E-ER (feat. Lil Yachty);25;01/01/2021;DJ Scheme, Ski Mask The Slump God, Danny Towers;viral50
Desperado Slowed - Remix;26;01/01/2021;RH Music, Eduardo Luzquiños;viral50
Mrs Magic;27;01/01/2021;Strawberry Guy;viral50
Slow Dancing;28;01/01/2021;Aly & AJ;viral50
DRUGS;29;01/01/2021;Tai Verdes;viral50
Hecha Pa' Mi;30;01/01/2021;Boza;viral50
Rhymes Like Dimes;31;01/01/2021;MF DOOM, DJ Cucumber Slice;viral50
LOST IN PARADISE;32;01/01/2021;ALI, AKLO;viral50
Just the Two of Us (feat. Bill Withers);33;01/01/2021;Grover Washington, Jr.;viral50
Home;34;01/01/2021;Edith Whiskers;viral50
Heat Waves;35;01/01/2021;Glass Animals;viral50
Achilles Come Down;36;01/01/2021;Gang of Youths;viral50
Chosen (feat. Ty Dolla $ign);37;01/01/2021;Blxst, Tyga;viral50
Astronaut In The Ocean;38;01/01/2021;Masked Wolf;viral50
Wellerman;39;01/01/2021;The Longest Johns;viral50
Jenny (I Wanna Ruin Our Friendship);40;01/01/2021;Studio Killers;viral50
Reminds Me Of You;41;01/01/2021;Juice WRLD, The Kid LAROI;viral50
Dead Man Walking;42;01/01/2021;Brent Faiyaz;viral50
Line Without a Hook;43;01/01/2021;Ricky Montgomery;viral50
Downtown;44;01/01/2021;Petula Clark;viral50
fools (can't help falling in love) (feat. Sody);45;01/01/2021;Foster, Sarcastic Sounds;viral50
Body;46;01/01/2021;Megan Thee Stallion;viral50
Jealous;47;01/01/2021;Eyedress;viral50
Stay Next To Me (with Chelsea Cutler);48;01/01/2021;Quinn XCII;viral50
Jubilee Line;49;01/01/2021;Wilbur Soot;viral50
Die Very Rough;50;01/01/2021;Mario Judah;viral50
Dicked Down in Dallas;1;02/01/2021;Trey Lewis;viral50
Mayonaka no Door / Stay With Me;2;02/01/2021;Miki Matsubara;viral50
Violent;3;02/01/2021;carolesdaughter;viral50
Sensitive;4;02/01/2021;Serena Isioma;viral50
space girl;5;02/01/2021;Frances Forever;viral50
Quicksand;6;02/01/2021;Morray;viral50
Greek Tragedy Tik Tok;7;02/01/2021;DunkMemer;viral50
Mmmh;8;02/01/2021;KAI;viral50
Doomsday;9;02/01/2021;MF DOOM, Pebbles The Invisible Girl;viral50
