title; rank; date; artist; chart
Castaways;1;01/06/2021;The Backyardigans;viral50
Fine Apple;2;01/06/2021;Nic D;viral50
PHONKY TOWN;3;01/06/2021;PlayaPhonk;viral50
I WANNA BE YOUR SLAVE;4;01/06/2021;Måneskin;viral50
ZITTI E BUONI;5;01/06/2021;Måneskin;viral50
S.I.M.P;6;01/06/2021;Kylesimps;viral50
Into The Thick Of It!;7;01/06/2021;The Backyardigans;viral50
Bundles (feat. Taylor Girlz);8;01/06/2021;Kayla Nicole;viral50
One Day;9;01/06/2021;Lovejoy;viral50
Dick (feat. Doja Cat);10;01/06/2021;StarBoi3;viral50
#BrooklynBloodPop!;11;01/06/2021;SyKo;viral50
t r a n s p a r e n t s o u l feat. Travis Barker;12;01/06/2021;WILLOW;viral50
Sex Sells;13;01/06/2021;Lovejoy;viral50
Pain;14;01/06/2021;PinkPantheress;viral50
A-O-K;15;01/06/2021;Tai Verdes;viral50
"Body (Remix) [feat. ArrDee & E1 (3x3)	& ZT (3x3) & Bugzy Malone & Buni & Fivio Foreign & Darkoo]";16;01/06/2021;Tion Wayne, Russ Millions;viral50
Taunt;17;01/06/2021;Lovejoy;viral50
Never Forget You;18;01/06/2021;Noisettes;viral50
deja vu;19;01/06/2021;Olivia Rodrigo;viral50
La Mamá de la Mamá;20;01/06/2021;El Alfa, Chael Produciendo, CJ, El Cherry Scom;viral50
Tampa;21;01/06/2021;Cico P;viral50
Poblado;22;01/06/2021;Crissin, Totoy El Frio, Natan & Shander;viral50
ASAP;23;01/06/2021;STAYC;viral50
Jalebi Baby;24;01/06/2021;Tesher;viral50
WHOLE LOTTA MONEY;25;01/06/2021;BIA;viral50
Miss The Rage (feat. Playboi Carti);26;01/06/2021;Trippie Redd;viral50
Ramen & OJ;27;01/06/2021;Joyner Lucas, Lil Baby;viral50
MY STORY (DLOG);28;01/06/2021;Mike Dimes;viral50
FEVER;29;01/06/2021;ENHYPEN;viral50
Meet Me At Our Spot;30;01/06/2021;THE ANXIETY, WILLOW, Tyler Cole;viral50
Who I Smoke;31;01/06/2021;Spinabenz, Yungeen Ace, FastMoney Goon, Whoppa Wit Da Choppa;viral50
Hex;32;01/06/2021;80purppp;viral50
Kiss Me More (feat. SZA);33;01/06/2021;Doja Cat;viral50
Reparations!;34;01/06/2021;KA$HDAMI;viral50
Rasputin;35;01/06/2021;Majestic, Boney M.;viral50
Fever Dream;36;01/06/2021;Jillian Rossi;viral50
Prom Night;37;01/06/2021;Riovaz;viral50
After Dark;38;01/06/2021;Mr.Kitty;viral50
Drunk-Dazed;39;01/06/2021;ENHYPEN;viral50
Freaks;40;01/06/2021;Surf Curse;viral50
Black Out Days - Future Islands Remix;41;01/06/2021;Phantogram;viral50
Break it off;42;01/06/2021;PinkPantheress;viral50
Sicko Drop;43;01/06/2021;KVSH, Schillist;viral50
If I Could;44;01/06/2021;Brynn Cartelli;viral50
Cause for Concern;45;01/06/2021;Lovejoy;viral50
As the World Caves In;46;01/06/2021;Matt Maltese;viral50
Wockesha;47;01/06/2021;Moneybagg Yo;viral50
Venom;48;01/06/2021;Little Simz;viral50
After School;49;01/06/2021;Weeekly;viral50
Cancun (SEGA EDITION);50;01/06/2021;ScrewStache;viral50
Castaways;1;02/06/2021;The Backyardigans;viral50
I WANNA BE YOUR SLAVE;2;02/06/2021;Måneskin;viral50
PHONKY TOWN;3;02/06/2021;PlayaPhonk;viral50
ZITTI E BUONI;4;02/06/2021;Måneskin;viral50
Fine Apple;5;02/06/2021;Nic D;viral50
S.I.M.P;6;02/06/2021;Kylesimps;viral50
Into The Thick Of It!;7;02/06/2021;The Backyardigans;viral50
Bundles (feat. Taylor Girlz);8;02/06/2021;Kayla Nicole;viral50
One Day;9;02/06/2021;Lovejoy;viral50
Dick (feat. Doja Cat);10;02/06/2021;StarBoi3;viral50
#BrooklynBloodPop!;11;02/06/2021;SyKo;viral50
t r a n s p a r e n t s o u l feat. Travis Barker;12;02/06/2021;WILLOW;viral50
Sex Sells;13;02/06/2021;Lovejoy;viral50
spy?;14;02/06/2021;WHOKILLEDXIX;viral50
Pain;15;02/06/2021;PinkPantheress;viral50
A-O-K;16;02/06/2021;Tai Verdes;viral50
"Body (Remix) [feat. ArrDee & E1 (3x3)	& ZT (3x3) & Bugzy Malone & Buni & Fivio Foreign & Darkoo]";17;02/06/2021;Tion Wayne, Russ Millions;viral50
Taunt;18;02/06/2021;Lovejoy;viral50
Never Forget You;19;02/06/2021;Noisettes;viral50
La Mamá de la Mamá;20;02/06/2021;El Alfa, Chael Produciendo, CJ, El Cherry Scom;viral50
deja vu;21;02/06/2021;Olivia Rodrigo;viral50
WHOLE LOTTA MONEY;22;02/06/2021;BIA;viral50
ASAP;23;02/06/2021;STAYC;viral50
MY STORY (DLOG);24;02/06/2021;Mike Dimes;viral50
Poblado;25;02/06/2021;Crissin, Totoy El Frio, Natan & Shander;viral50
Tampa;26;02/06/2021;Cico P;viral50
Miss The Rage (feat. Playboi Carti);27;02/06/2021;Trippie Redd;viral50
Jalebi Baby;28;02/06/2021;Tesher;viral50
Ramen & OJ;29;02/06/2021;Joyner Lucas, Lil Baby;viral50
Hex;30;02/06/2021;80purppp;viral50
Meet Me At Our Spot;31;02/06/2021;THE ANXIETY, WILLOW, Tyler Cole;viral50
FEVER;32;02/06/2021;ENHYPEN;viral50
Who I Smoke;33;02/06/2021;Spinabenz, Yungeen Ace, FastMoney Goon, Whoppa Wit Da Choppa;viral50
Kiss Me More (feat. SZA);34;02/06/2021;Doja Cat;viral50
Fever Dream;35;02/06/2021;Jillian Rossi;viral50
Rasputin;36;02/06/2021;Majestic, Boney M.;viral50
Reparations!;37;02/06/2021;KA$HDAMI;viral50
Black Out Days - Future Islands Remix;38;02/06/2021;Phantogram;viral50
As the World Caves In;39;02/06/2021;Matt Maltese;viral50
Drunk-Dazed;40;02/06/2021;ENHYPEN;viral50
Break it off;41;02/06/2021;PinkPantheress;viral50
If I Could;42;02/06/2021;Brynn Cartelli;viral50
Freaks;43;02/06/2021;Surf Curse;viral50
After Dark;44;02/06/2021;Mr.Kitty;viral50
Sicko Drop;45;02/06/2021;KVSH, Schillist;viral50
Prom Night;46;02/06/2021;Riovaz;viral50
Cause for Concern;47;02/06/2021;Lovejoy;viral50
After School;48;02/06/2021;Weeekly;viral50
Wockesha;49;02/06/2021;Moneybagg Yo;viral50
Cancun (SEGA EDITION);50;02/06/2021;ScrewStache;viral50
Castaways;1;03/06/2021;The Backyardigans;viral50
I WANNA BE YOUR SLAVE;2;03/06/2021;Måneskin;viral50
PHONKY TOWN;3;03/06/2021;PlayaPhonk;viral50
ZITTI E BUONI;4;03/06/2021;Måneskin;viral50
Fine Apple;5;03/06/2021;Nic D;viral50
S.I.M.P;6;03/06/2021;Kylesimps;viral50
Into The Thick Of It!;7;03/06/2021;The Backyardigans;viral50
Bundles (feat. Taylor Girlz);8;03/06/2021;Kayla Nicole;viral50
Gordon R Freestyle;9;03/06/2021;Remble;viral50
Dick (feat. Doja Cat);10;03/06/2021;StarBoi3;viral50
One Day;11;03/06/2021;Lovejoy;viral50
t r a n s p a r e n t s o u l feat. Travis Barker;12;03/06/2021;WILLOW;viral50
#BrooklynBloodPop!;13;03/06/2021;SyKo;viral50
spy?;14;03/06/2021;WHOKILLEDXIX;viral50
Sex Sells;15;03/06/2021;Lovejoy;viral50
Pain;16;03/06/2021;PinkPantheress;viral50
"Body (Remix) [feat. ArrDee & E1 (3x3)	& ZT (3x3) & Bugzy Malone & Buni & Fivio Foreign & Darkoo]";17;03/06/2021;Tion Wayne, Russ Millions;viral50
Taunt;18;03/06/2021;Lovejoy;viral50
A-O-K;19;03/06/2021;Tai Verdes;viral50
La Mamá de la Mamá;20;03/06/2021;El Alfa, Chael Produciendo, CJ, El Cherry Scom;viral50
deja vu;21;03/06/2021;Olivia Rodrigo;viral50
Never Forget You;22;03/06/2021;Noisettes;viral50
MY STORY (DLOG);23;03/06/2021;Mike Dimes;viral50
WHOLE LOTTA MONEY;24;03/06/2021;BIA;viral50
Hex;25;03/06/2021;80purppp;viral50
ASAP;26;03/06/2021;STAYC;viral50
Miss The Rage (feat. Playboi Carti);27;03/06/2021;Trippie Redd;viral50
Meet Me At Our Spot;28;03/06/2021;THE ANXIETY, WILLOW, Tyler Cole;viral50
FEVER;29;03/06/2021;ENHYPEN;viral50
