title; rank; date; artist; chart
Моя голова винтом (My head is spinning like a screw);1;01/03/2021;kostromin;viral50
SugarCrash!;2;01/03/2021;ElyOtto;viral50
Wellerman - Sea Shanty / 220 KID x Billen Ted Remix;3;01/03/2021;Nathan Evans;viral50
telepatía;4;01/03/2021;Kali Uchis;viral50
Astronaut In The Ocean;5;01/03/2021;Masked Wolf;viral50
Track Star;6;01/03/2021;Mooski;viral50
Tokyo;7;01/03/2021;Leat'eq;viral50
Wellerman - Sea Shanty;8;01/03/2021;Nathan Evans;viral50
Roadtrip;9;01/03/2021;Dream, PmBata;viral50
ROLLIN N CONTROLLIN FREESTYLE;10;01/03/2021;DUSTY LOCANE;viral50
Heartbreak Anniversary;11;01/03/2021;Giveon;viral50
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit;12;01/03/2021;Riton, Nightcrawlers;viral50
Hot N*gga;13;01/03/2021;Bobby Shmurda;viral50
Bobby Bitch;14;01/03/2021;Bobby Shmurda;viral50
So Pretty;15;01/03/2021;Reyanna Maria;viral50
Fiel;16;01/03/2021;Los Legendarios, Wisin, Jhay Cortez;viral50
Up;17;01/03/2021;Cardi B;viral50
Best Friend (feat. Doja Cat);18;01/03/2021;Saweetie;viral50
Isabelle;19;01/03/2021;Zach Hood;viral50
Pierre;20;01/03/2021;Ryn Weaver;viral50
Fake Woke;21;01/03/2021;Tom MacDonald;viral50
Back In Blood (feat. Lil Durk);22;01/03/2021;Pooh Shiesty;viral50
Welcome to My House;23;01/03/2021;Nu Breed, Jesse Howard;viral50
Do A Bitch;24;01/03/2021;Kali;viral50
One More Time;25;01/03/2021;Daft Punk;viral50
Bruuuh (with Denzel Curry) - Remix;26;01/03/2021;JID;viral50
Broken;27;01/03/2021;Jonah Kagen;viral50
Instant Crush (feat. Julian Casablancas);28;01/03/2021;Daft Punk;viral50
Ella No Es Tuya - Remix;29;01/03/2021;Rochy RD, Myke Towers, Nicki Nicole;viral50
Slumber Party (feat. Princess Nokia);30;01/03/2021;Ashnikko;viral50
Throat Baby (Go Baby) (with DaBaby & City Girls) - Remix;31;01/03/2021;BRS Kash;viral50
drivers license;32;01/03/2021;Olivia Rodrigo;viral50
What Other People Say;33;01/03/2021;Sam Fischer, Demi Lovato;viral50
Your Love (9PM);34;01/03/2021;ATB, Topic, A7S;viral50
Something About Us;35;01/03/2021;Daft Punk;viral50
Violent;36;01/03/2021;carolesdaughter;viral50
M.I.L.F;37;01/03/2021;Kawai Sprite;viral50
Computers (feat. Bobby Shmurda);38;01/03/2021;Rowdy Rebel;viral50
Digital Love;39;01/03/2021;Daft Punk;viral50
I'm not Pretty;40;01/03/2021;JESSIA;viral50
Touch (feat. Paul Williams);41;01/03/2021;Daft Punk;viral50
Glad You Exist;42;01/03/2021;Dan + Shay;viral50
