title; rank; date; artist; chart
Nuestra Canción;1;01/11/2021;Monsieur Periné, Vicente Garcia;viral50
Want me;2;01/11/2021;Cl4pers;viral50
Better Days (NEIKED x Mae Muller x Polo G);3;01/11/2021;NEIKED;viral50
Notion;4;01/11/2021;The Rare Occasions;viral50
WFM;5;01/11/2021;RealestK;viral50
SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy);6;01/11/2021;Amaarae;viral50
see you later (ten years);7;01/11/2021;Jenna Raine;viral50
Do It To It;8;01/11/2021;ACRAZE, Cherish;viral50
Smooth Criminal;9;01/11/2021;MostHated;viral50
Monster Mash;10;01/11/2021;"Bobby ""Boris"" Pickett, The Crypt-Kickers";viral50
all I want is you;12;01/11/2021;Rebzyyx, hoshie star;viral50
Spooky Scary Skeletons - Undead Tombstone Remix;13;01/11/2021;Andrew Gold;viral50
Face Off;14;01/11/2021;Tech N9ne, Joey Cool, King Iso, Dwayne Johnson;viral50
masquerade;15;01/11/2021;Siouxxie;viral50
Está Dañada;16;01/11/2021;Ivan Cornejo;viral50
This Is Halloween;17;01/11/2021;Disney Characters;viral50
Who Want Smoke?? (feat. G Herbo & Lil Durk & 21 Savage);18;01/11/2021;Nardo Wick;viral50
Toxic;19;01/11/2021;BoyWithUke;viral50
22;20;01/11/2021;Lil Candy Paint;viral50
California Dreamin' (feat. High Jinx);21;01/11/2021;Chris Lorenzo;viral50
Time Warp;22;01/11/2021;Little Nell, Patricia Quinn, Richard O'Brien;viral50
Somebody's Watching Me;23;01/11/2021;Rockwell;viral50
MONEY;24;01/11/2021;LISA;viral50
Halloween Theme - Main Title;25;01/11/2021;John Carpenter;viral50
The Red Means I Love You;26;01/11/2021;Madds Buckley;viral50
Meant To Be;27;01/11/2021;Ber, Charlie Oriain;viral50
Violin (feat. Dear Silas);28;01/11/2021;Cookiee Kawaii;viral50
The Feels;29;01/11/2021;TWICE;viral50
fafo;30;01/11/2021;Zack Fox;viral50
I Put a Spell On You;31;01/11/2021;Screamin' Jay Hawkins;viral50
Ghostbusters;32;01/11/2021;Ray Parker Jr.;viral50
love nwantiti (ah ah ah);33;01/11/2021;CKay;viral50
Meet Me At Our Spot;34;01/11/2021;THE ANXIETY, WILLOW, Tyler Cole;viral50
Witch Doctor;35;01/11/2021;David Seville;viral50
I Love You So;36;01/11/2021;The Walters;viral50
love nwantiti (feat. Dj Yo! & AX'EL) - Remix;37;01/11/2021;CKay;viral50
The Purple People Eater;38;01/11/2021;Sheb Wooley;viral50
Halloween - Mix-O-Lydian 1981;39;01/11/2021;Misfits;viral50
Jugaste y Sufrí;40;01/11/2021;Eslabon Armado, DannyLux;viral50
Big Energy;41;01/11/2021;Latto;viral50
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas);42;01/11/2021;Tainy;viral50
Cold Heart - PNAU Remix;43;01/11/2021;Elton John, Dua Lipa;viral50
Brand New Guy (feat. ScHoolboy Q);44;01/11/2021;A$AP Rocky;viral50
Disaster;45;01/11/2021;KSLV Noh;viral50
Spooky Scary Skeletons - Undead Tombstone Remix;46;01/11/2021;Andrew Gold;viral50
Close Eyes;47;01/11/2021;DVRST;viral50
Two Moons;48;01/11/2021;BoyWithUke;viral50
this is what falling in love feels like;49;01/11/2021;JVKE;viral50
Barrio;50;01/11/2021;BRXWS, DreamBetter;viral50
Nuestra Canción;1;02/11/2021;Monsieur Periné, Vicente Garcia;viral50
Want me;2;02/11/2021;Cl4pers;viral50
SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy);3;02/11/2021;Amaarae;viral50
Better Days (NEIKED x Mae Muller x Polo G);4;02/11/2021;NEIKED;viral50
Notion;5;02/11/2021;The Rare Occasions;viral50
WFM;6;02/11/2021;RealestK;viral50
Do It To It;7;02/11/2021;ACRAZE, Cherish;viral50
see you later (ten years);8;02/11/2021;Jenna Raine;viral50
Smooth Criminal;10;02/11/2021;MostHated;viral50
Monster Mash;11;02/11/2021;"Bobby ""Boris"" Pickett, The Crypt-Kickers";viral50
all I want is you;12;02/11/2021;Rebzyyx, hoshie star;viral50
Spooky Scary Skeletons - Undead Tombstone Remix;13;02/11/2021;Andrew Gold;viral50
masquerade;14;02/11/2021;Siouxxie;viral50
Face Off;15;02/11/2021;Tech N9ne, Joey Cool, King Iso, Dwayne Johnson;viral50
Está Dañada;16;02/11/2021;Ivan Cornejo;viral50
This Is Halloween;17;02/11/2021;Disney Characters;viral50
Toxic;18;02/11/2021;BoyWithUke;viral50
Who Want Smoke?? (feat. G Herbo & Lil Durk & 21 Savage);19;02/11/2021;Nardo Wick;viral50
California Dreamin' (feat. High Jinx);20;02/11/2021;Chris Lorenzo;viral50
22;21;02/11/2021;Lil Candy Paint;viral50
Time Warp;22;02/11/2021;Little Nell, Patricia Quinn, Richard O'Brien;viral50
Somebody's Watching Me;23;02/11/2021;Rockwell;viral50
MONEY;24;02/11/2021;LISA;viral50
Halloween Theme - Main Title;25;02/11/2021;John Carpenter;viral50
The Red Means I Love You;26;02/11/2021;Madds Buckley;viral50
Meant To Be;27;02/11/2021;Ber, Charlie Oriain;viral50
The Feels;28;02/11/2021;TWICE;viral50
fafo;29;02/11/2021;Zack Fox;viral50
I Put a Spell On You;30;02/11/2021;Screamin' Jay Hawkins;viral50
Ghostbusters;31;02/11/2021;Ray Parker Jr.;viral50
love nwantiti (ah ah ah);32;02/11/2021;CKay;viral50
Meet Me At Our Spot;33;02/11/2021;THE ANXIETY, WILLOW, Tyler Cole;viral50
Kiss the Girl;34;02/11/2021;Brent Morgan;viral50
I Love You So;35;02/11/2021;The Walters;viral50
love nwantiti (feat. Dj Yo! & AX'EL) - Remix;36;02/11/2021;CKay;viral50
Witch Doctor;37;02/11/2021;David Seville;viral50
The Purple People Eater;38;02/11/2021;Sheb Wooley;viral50
Halloween - Mix-O-Lydian 1981;39;02/11/2021;Misfits;viral50
