title; rank; date; artist; chart
love nwantiti (ah ah ah);1;01/10/2021;CKay;viral50
The Red Means I Love You;2;01/10/2021;Madds Buckley;viral50
love nwantiti (feat. Dj Yo! & AX'EL) - Remix;3;01/10/2021;CKay;viral50
Do It To It;4;01/10/2021;ACRAZE, Cherish;viral50
this is what falling in love feels like;5;01/10/2021;JVKE;viral50
Meet Me At Our Spot;6;01/10/2021;THE ANXIETY, WILLOW, Tyler Cole;viral50
In My Mind;7;01/10/2021;Lyn Lapid;viral50
Two Moons;8;01/10/2021;BoyWithUke;viral50
Life Goes On;9;01/10/2021;Oliver Tree;viral50
Linda;10;01/10/2021;Tokischa, ROSALÍA;viral50
Jugaste y Sufrí;11;01/10/2021;Eslabon Armado, DannyLux;viral50
Cold Heart - PNAU Remix;12;01/10/2021;Elton John, Dua Lipa;viral50
STEREOTYPE;13;01/10/2021;STAYC;viral50
HOT DEMON B!TCHES NEAR U ! ! !;14;01/10/2021;CORPSE, Night Lovell;viral50
Light My Love;15;01/10/2021;Greta Van Fleet;viral50
ONLY;16;01/10/2021;LeeHi;viral50
Lay It Down;17;01/10/2021;benu;viral50
family ties (with Kendrick Lamar);18;01/10/2021;Baby Keem;viral50
Pepas;19;01/10/2021;Farruko;viral50
Gët Busy;20;01/10/2021;Yeat;viral50
In My Room;21;01/10/2021;Insane Clown Posse;viral50
I GUESS I'M IN LOVE;22;01/10/2021;Clinton Kane;viral50
STREETSX VACATION BIBLE SCHOOL;23;01/10/2021;XXKATUSJINSUX;viral50
Está Dañada;24;01/10/2021;Ivan Cornejo;viral50
Feel Like God !*;25;01/10/2021;VVS;viral50
love nwantiti (feat. ElGrande Toto) - North African Remix;26;01/10/2021;CKay, ElGrandeToto;viral50
Way 2 Sexy (with Future & Young Thug);27;01/10/2021;Drake;viral50
Something About You;28;01/10/2021;Eyedress, Dent May;viral50
edamame (feat. Rich Brian);29;01/10/2021;bbno$;viral50
Record Player (with AJR);30;01/10/2021;Daisy the Great;viral50
Life By The Sea;31;01/10/2021;Tubbo, CG5;viral50
Knife Talk (with 21 Savage ft. Project Pat);32;01/10/2021;Drake;viral50
Shit Show;33;01/10/2021;Peter McPoland;viral50
Monster Mash;34;01/10/2021;"Bobby ""Boris"" Pickett, The Crypt-Kickers";viral50
This Is Halloween;35;01/10/2021;Disney Characters;viral50
From Tha Back;36;01/10/2021;lil.eaarl, Huncho Da Rockstar;viral50
this is how i learn to say no;37;01/10/2021;EMELINE;viral50
Fancy Like;38;01/10/2021;Walker Hayes;viral50
Je te laisserai des mots;39;01/10/2021;Patrick Watson;viral50
Cry Baby;40;01/10/2021;Official HIGE DANdism;viral50
Loverboy;41;01/10/2021;A-Wall;viral50
Drunk And Nasty (feat. Sharc);42;01/10/2021;Pi’erre Bourne;viral50
Paralyzed;43;01/10/2021;Sueco;viral50
Somebody's Watching Me;44;01/10/2021;Rockwell;viral50
Sorry Bout That;45;01/10/2021;Yeat;viral50
Sharing Locations (feat. Lil Baby & Lil Durk);46;01/10/2021;Meek Mill;viral50
Strange;47;01/10/2021;Celeste;viral50
FEEL NOTHING;48;01/10/2021;The Plot In You;viral50
INDUSTRY BABY (feat. Jack Harlow);49;01/10/2021;Lil Nas X;viral50
Dark Red;50;01/10/2021;Steve Lacy;viral50
love nwantiti (ah ah ah);1;02/10/2021;CKay;viral50
The Red Means I Love You;2;02/10/2021;Madds Buckley;viral50
love nwantiti (feat. Dj Yo! & AX'EL) - Remix;3;02/10/2021;CKay;viral50
Do It To It;4;02/10/2021;ACRAZE, Cherish;viral50
this is what falling in love feels like;5;02/10/2021;JVKE;viral50
Meet Me At Our Spot;6;02/10/2021;THE ANXIETY, WILLOW, Tyler Cole;viral50
In My Mind;7;02/10/2021;Lyn Lapid;viral50
Two Moons;8;02/10/2021;BoyWithUke;viral50
Life Goes On;9;02/10/2021;Oliver Tree;viral50
Jugaste y Sufrí;10;02/10/2021;Eslabon Armado, DannyLux;viral50
Linda;11;02/10/2021;Tokischa, ROSALÍA;viral50
Está Dañada;12;02/10/2021;Ivan Cornejo;viral50
Cold Heart - PNAU Remix;13;02/10/2021;Elton John, Dua Lipa;viral50
STEREOTYPE;14;02/10/2021;STAYC;viral50
Lay It Down;15;02/10/2021;benu;viral50
HOT DEMON B!TCHES NEAR U ! ! !;16;02/10/2021;CORPSE, Night Lovell;viral50
ONLY;17;02/10/2021;LeeHi;viral50
Light My Love;18;02/10/2021;Greta Van Fleet;viral50
Gët Busy;19;02/10/2021;Yeat;viral50
Pepas;20;02/10/2021;Farruko;viral50
I GUESS I'M IN LOVE;21;02/10/2021;Clinton Kane;viral50
family ties (with Kendrick Lamar);22;02/10/2021;Baby Keem;viral50
In My Room;23;02/10/2021;Insane Clown Posse;viral50
STREETSX VACATION BIBLE SCHOOL;24;02/10/2021;XXKATUSJINSUX;viral50
Feel Like God !*;25;02/10/2021;VVS;viral50
love nwantiti (feat. ElGrande Toto) - North African Remix;26;02/10/2021;CKay, ElGrandeToto;viral50
Way 2 Sexy (with Future & Young Thug);27;02/10/2021;Drake;viral50
Monster Mash;28;02/10/2021;"Bobby ""Boris"" Pickett, The Crypt-Kickers";viral50
edamame (feat. Rich Brian);29;02/10/2021;bbno$;viral50
This Is Halloween;30;02/10/2021;Disney Characters;viral50
Something About You;31;02/10/2021;Eyedress, Dent May;viral50
