title; rank; date; artist; chart
Loverboy;1;01/09/2021;A-Wall;viral50
Wake Up;2;01/09/2021;Cheese People;viral50
Puppy Princess;3;01/09/2021;Hot Freaks;viral50
Pepas;4;01/09/2021;Farruko;viral50
Jugaste y Sufrí;5;01/09/2021;Eslabon Armado, DannyLux;viral50
Just Drive;6;01/09/2021;Erin Kinsey;viral50
Strange;7;01/09/2021;Celeste;viral50
GYALIS;8;01/09/2021;Capella Grey;viral50
ALIEN LOVE CALL;9;01/09/2021;Turnstile, Blood Orange;viral50
BLACKOUT;10;01/09/2021;Turnstile;viral50
HOLIDAY;11;01/09/2021;Turnstile;viral50
FMRN;12;01/09/2021;Lilyisthatyou;viral50
i hope ur miserable until ur dead;13;01/09/2021;Nessa Barrett;viral50
FVN!;14;01/09/2021;LVL1;viral50
Not Into You;15;01/09/2021;Brooksie;viral50
edamame (feat. Rich Brian);16;01/09/2021;bbno$;viral50
Meet Me At Our Spot;17;01/09/2021;THE ANXIETY, WILLOW, Tyler Cole;viral50
Fancy Like;18;01/09/2021;Walker Hayes;viral50
Not Around;19;01/09/2021;Nova;viral50
Duvet;20;01/09/2021;bôa;viral50
double take;21;01/09/2021;dhruv;viral50
God We Need You Now;22;01/09/2021;Struggle Jennings, Caitlynne Curtis;viral50
STAY (with Justin Bieber);23;01/09/2021;The Kid LAROI;viral50
MYSTERY;24;01/09/2021;Turnstile;viral50
Happier Than Ever;25;01/09/2021;Billie Eilish;viral50
París;26;01/09/2021;Ingratax;viral50
Dark Red;27;01/09/2021;Steve Lacy;viral50
Cry Baby;28;01/09/2021;Official HIGE DANdism;viral50
You Are My High;29;01/09/2021;DJ Snake;viral50
Heat Above;30;01/09/2021;Greta Van Fleet;viral50
One In A Million;31;01/09/2021;Aaliyah;viral50
Bonita;32;01/09/2021;Los Dorados;viral50
My Jesus;33;01/09/2021;Anne Wilson;viral50
INDUSTRY BABY (feat. Jack Harlow);34;01/09/2021;Lil Nas X;viral50
Believe Me;35;01/09/2021;Navos;viral50
EAT SPIT! (feat. Royal & the Serpent);36;01/09/2021;Slush Puppy;viral50
Love Me Like That;37;01/09/2021;Sam Kim;viral50
Everywhereigo;38;01/09/2021;Babyxsosa;viral50
Light My Love;39;01/09/2021;Greta Van Fleet;viral50
REPEAT IT (with Gunna);40;01/09/2021;Lil Tecca;viral50
Lo Que Construimos;41;01/09/2021;Natalia Lafourcade;viral50
Pain;42;01/09/2021;PinkPantheress;viral50
County Line;43;01/09/2021;Chase Matthew;viral50
Over The Top (feat. Drake);44;01/09/2021;Smiley;viral50
rises the moon;45;01/09/2021;Liana Flores;viral50
Beethoven;46;01/09/2021;Kenndog;viral50
Volví;47;01/09/2021;Aventura, Bad Bunny;viral50
A-O-K;48;01/09/2021;Tai Verdes;viral50
Essence (feat. Tems);49;01/09/2021;WizKid;viral50
Drunk And Nasty (feat. Sharc);50;01/09/2021;Pi’erre Bourne;viral50
Loverboy;1;02/09/2021;A-Wall;viral50
Wake Up;2;02/09/2021;Cheese People;viral50
Pepas;3;02/09/2021;Farruko;viral50
Puppy Princess;4;02/09/2021;Hot Freaks;viral50
Jugaste y Sufrí;5;02/09/2021;Eslabon Armado, DannyLux;viral50
Just Drive;6;02/09/2021;Erin Kinsey;viral50
ALIEN LOVE CALL;7;02/09/2021;Turnstile, Blood Orange;viral50
Strange;8;02/09/2021;Celeste;viral50
BLACKOUT;9;02/09/2021;Turnstile;viral50
GYALIS;10;02/09/2021;Capella Grey;viral50
HOLIDAY;11;02/09/2021;Turnstile;viral50
FMRN;12;02/09/2021;Lilyisthatyou;viral50
Meet Me At Our Spot;13;02/09/2021;THE ANXIETY, WILLOW, Tyler Cole;viral50
i hope ur miserable until ur dead;14;02/09/2021;Nessa Barrett;viral50
Not Into You;15;02/09/2021;Brooksie;viral50
MYSTERY;16;02/09/2021;Turnstile;viral50
edamame (feat. Rich Brian);17;02/09/2021;bbno$;viral50
Not Around;18;02/09/2021;Nova;viral50
FVN!;19;02/09/2021;LVL1;viral50
Fancy Like;20;02/09/2021;Walker Hayes;viral50
Duvet;21;02/09/2021;bôa;viral50
God We Need You Now;22;02/09/2021;Struggle Jennings, Caitlynne Curtis;viral50
double take;23;02/09/2021;dhruv;viral50
STAY (with Justin Bieber);24;02/09/2021;The Kid LAROI;viral50
Happier Than Ever;25;02/09/2021;Billie Eilish;viral50
You Are My High;26;02/09/2021;DJ Snake;viral50
Dark Red;27;02/09/2021;Steve Lacy;viral50
París;28;02/09/2021;Ingratax;viral50
Cry Baby;29;02/09/2021;Official HIGE DANdism;viral50
Light My Love;30;02/09/2021;Greta Van Fleet;viral50
Heat Above;31;02/09/2021;Greta Van Fleet;viral50
Bonita;32;02/09/2021;Los Dorados;viral50
My Jesus;33;02/09/2021;Anne Wilson;viral50
Believe Me;34;02/09/2021;Navos;viral50
INDUSTRY BABY (feat. Jack Harlow);35;02/09/2021;Lil Nas X;viral50
REPEAT IT (with Gunna);36;02/09/2021;Lil Tecca;viral50
Everywhereigo;37;02/09/2021;Babyxsosa;viral50
EAT SPIT! (feat. Royal & the Serpent);38;02/09/2021;Slush Puppy;viral50
Love Me Like That;39;02/09/2021;Sam Kim;viral50
One In A Million;40;02/09/2021;Aaliyah;viral50
Beethoven;41;02/09/2021;Kenndog;viral50
Lo Que Construimos;42;02/09/2021;Natalia Lafourcade;viral50
Pain;43;02/09/2021;PinkPantheress;viral50
Over The Top (feat. Drake);44;02/09/2021;Smiley;viral50
rises the moon;45;02/09/2021;Liana Flores;viral50
County Line;46;02/09/2021;Chase Matthew;viral50
Drunk And Nasty (feat. Sharc);47;02/09/2021;Pi’erre Bourne;viral50
A-O-K;48;02/09/2021;Tai Verdes;viral50
uhh;49;02/09/2021;framed;viral50
Volví;50;02/09/2021;Aventura, Bad Bunny;viral50
Loverboy;1;03/09/2021;A-Wall;viral50
Wake Up;2;03/09/2021;Cheese People;viral50
Jugaste y Sufrí;3;03/09/2021;Eslabon Armado, DannyLux;viral50
Pepas;4;03/09/2021;Farruko;viral50
Puppy Princess;5;03/09/2021;Hot Freaks;viral50
Just Drive;6;03/09/2021;Erin Kinsey;viral50
Strange;7;03/09/2021;Celeste;viral50
ALIEN LOVE CALL;8;03/09/2021;Turnstile, Blood Orange;viral50
BLACKOUT;9;03/09/2021;Turnstile;viral50
GYALIS;10;03/09/2021;Capella Grey;viral50
Meet Me At Our Spot;11;03/09/2021;THE ANXIETY, WILLOW, Tyler Cole;viral50
HOLIDAY;12;03/09/2021;Turnstile;viral50
FMRN;13;03/09/2021;Lilyisthatyou;viral50
i hope ur miserable until ur dead;14;03/09/2021;Nessa Barrett;viral50
edamame (feat. Rich Brian);15;03/09/2021;bbno$;viral50
Not Around;16;03/09/2021;Nova;viral50
Not Into You;17;03/09/2021;Brooksie;viral50
Fancy Like;18;03/09/2021;Walker Hayes;viral50
Duvet;19;03/09/2021;bôa;viral50
FVN!;20;03/09/2021;LVL1;viral50
You Are My High;21;03/09/2021;DJ Snake;viral50
MYSTERY;22;03/09/2021;Turnstile;viral50
God We Need You Now;23;03/09/2021;Struggle Jennings, Caitlynne Curtis;viral50
double take;24;03/09/2021;dhruv;viral50
Happier Than Ever;25;03/09/2021;Billie Eilish;viral50
STAY (with Justin Bieber);26;03/09/2021;The Kid LAROI;viral50
Light My Love;27;03/09/2021;Greta Van Fleet;viral50
Dark Red;28;03/09/2021;Steve Lacy;viral50
París;29;03/09/2021;Ingratax;viral50
Cry Baby;30;03/09/2021;Official HIGE DANdism;viral50
Heat Above;31;03/09/2021;Greta Van Fleet;viral50
My Jesus;32;03/09/2021;Anne Wilson;viral50
Bonita;33;03/09/2021;Los Dorados;viral50
Believe Me;34;03/09/2021;Navos;viral50
INDUSTRY BABY (feat. Jack Harlow);35;03/09/2021;Lil Nas X;viral50
Beethoven;36;03/09/2021;Kenndog;viral50
EAT SPIT! (feat. Royal & the Serpent);37;03/09/2021;Slush Puppy;viral50
Love Me Like That;38;03/09/2021;Sam Kim;viral50
Over The Top (feat. Drake);39;03/09/2021;Smiley;viral50
Everywhereigo;40;03/09/2021;Babyxsosa;viral50
One In A Million;41;03/09/2021;Aaliyah;viral50
Pain;42;03/09/2021;PinkPantheress;viral50
REPEAT IT (with Gunna);43;03/09/2021;Lil Tecca;viral50
rises the moon;44;03/09/2021;Liana Flores;viral50
Lo Que Construimos;45;03/09/2021;Natalia Lafourcade;viral50
Drunk And Nasty (feat. Sharc);46;03/09/2021;Pi’erre Bourne;viral50
Ride the Lightning - 717 Tapes;47;03/09/2021;Warren Zeiders;viral50
A-O-K;48;03/09/2021;Tai Verdes;viral50
County Line;49;03/09/2021;Chase Matthew;viral50
uhh;50;03/09/2021;framed;viral50
Loverboy;1;04/09/2021;A-Wall;viral50
Wake Up;2;04/09/2021;Cheese People;viral50
Jugaste y Sufrí;3;04/09/2021;Eslabon Armado, DannyLux;viral50
Puppy Princess;4;04/09/2021;Hot Freaks;viral50
Pepas;5;04/09/2021;Farruko;viral50
GD Anthem;6;04/09/2021;Rooga;viral50
Just Drive;7;04/09/2021;Erin Kinsey;viral50
Strange;8;04/09/2021;Celeste;viral50
Meet Me At Our Spot;9;04/09/2021;THE ANXIETY, WILLOW, Tyler Cole;viral50
Antarctica;10;04/09/2021;$uicideboy$;viral50
ALIEN LOVE CALL;11;04/09/2021;Turnstile, Blood Orange;viral50
BLACKOUT;12;04/09/2021;Turnstile;viral50
GYALIS;13;04/09/2021;Capella Grey;viral50
HOLIDAY;14;04/09/2021;Turnstile;viral50
FMRN;15;04/09/2021;Lilyisthatyou;viral50
edamame (feat. Rich Brian);16;04/09/2021;bbno$;viral50
i hope ur miserable until ur dead;17;04/09/2021;Nessa Barrett;viral50
Not Around;18;04/09/2021;Nova;viral50
You Are My High;19;04/09/2021;DJ Snake;viral50
Fancy Like;20;04/09/2021;Walker Hayes;viral50
Not Into You;21;04/09/2021;Brooksie;viral50
Light My Love;22;04/09/2021;Greta Van Fleet;viral50
Duvet;23;04/09/2021;bôa;viral50
FVN!;24;04/09/2021;LVL1;viral50
God We Need You Now;25;04/09/2021;Struggle Jennings, Caitlynne Curtis;viral50
MYSTERY;26;04/09/2021;Turnstile;viral50
Dark Red;27;04/09/2021;Steve Lacy;viral50
París;28;04/09/2021;Ingratax;viral50
STAY (with Justin Bieber);29;04/09/2021;The Kid LAROI;viral50
