date,rank,song,artist,last-week,peak-rank,weeks-on-board
11/6/21,1,Easy On Me,Adele,1,1,3
11/6/21,2,Stay,The Kid LAROI & Justin Bieber,2,1,16
11/6/21,3,Industry Baby,Lil Nas X & Jack Harlow,3,1,14
11/6/21,4,Fancy Like,Walker Hayes,4,3,19
11/6/21,5,Bad Habits,Ed Sheeran,5,2,18
11/6/21,6,Way 2 Sexy,Drake Featuring Future & Young Thug,6,1,8
11/6/21,7,Shivers,Ed Sheeran,9,7,7
11/6/21,8,Good 4 U,Olivia Rodrigo,7,1,24
11/6/21,9,Need To Know,Doja Cat,11,9,20
11/6/21,10,Levitating,Dua Lipa,8,2,56
11/6/21,11,Essence,Wizkid Featuring Justin Bieber & Tems,12,9,17
11/6/21,12,Kiss Me More,Doja Cat Featuring SZA,10,3,29
11/6/21,13,Heat Waves,Glass Animals,14,12,41
11/6/21,14,Beggin',Maneskin,15,14,18
11/6/21,15,Cold Heart (PNAU Remix),Elton John & Dua Lipa,21,15,8
11/6/21,16,You Right,Doja Cat & The Weeknd,16,11,18
11/6/21,17,Save Your Tears,The Weeknd & Ariana Grande,17,1,46
11/6/21,18,If I Didn't Love You,Jason Aldean & Carrie Underwood,23,15,14
11/6/21,19,Traitor,Olivia Rodrigo,22,9,23
11/6/21,20,My Universe,Coldplay x BTS,13,1,5
11/6/21,21,Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",19,17,3
11/6/21,22,Knife Talk,Drake Featuring 21 Savage & Project Pat,18,4,8
11/6/21,23,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,32,23,7
11/6/21,24,Montero (Call Me By Your Name),Lil Nas X,24,1,31
11/6/21,25,Chasing After You,Ryan Hurd With Maren Morris,25,23,26
11/6/21,26,Girls Want Girls,Drake Featuring Lil Baby,26,2,8
11/6/21,27,Moth To A Flame,Swedish House Mafia & The Weeknd,,27,1
11/6/21,28,Let's Go Brandon,Bryson Gray Featuring Tyson James & Chandler Crump,,28,1
11/6/21,29,Thats What I Want,Lil Nas X,28,10,6
11/6/21,30,Pepas,Farruko,29,25,14
11/6/21,31,Love Nwantiti (Ah Ah Ah),CKay,31,31,6
11/6/21,32,Take My Breath,The Weeknd,27,6,12
11/6/21,33,Happier Than Ever,Billie Eilish,30,11,13
11/6/21,34,Wockesha,Moneybagg Yo,33,20,27
11/6/21,35,Better Days,NEIKED X Mae Muller X Polo G,57,35,2
11/6/21,36,Buy Dirt,Jordan Davis Featuring Luke Bryan,34,34,12
11/6/21,37,Ghost,Justin Bieber,38,32,5
11/6/21,38,Lets Go Brandon,Loza Alexander,45,38,2
11/6/21,39,Cold As You,Luke Combs,41,39,13
11/6/21,40,A-O-K,Tai Verdes,36,34,17
11/6/21,41,You Should Probably Leave,Chris Stapleton,40,40,17
11/6/21,42,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),44,1,34
11/6/21,43,Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,51,43,11
11/6/21,44,Memory I Don't Mess With,Lee Brice,35,33,14
11/6/21,45,Bubbly,Young Thug With Drake & Travis Scott,20,20,2
11/6/21,46,Wild Side,Normani Featuring Cardi B,47,14,15
11/6/21,47,Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk,43,22,9
11/6/21,48,Gyalis,Capella Grey,46,38,13
11/6/21,49,I Was On A Boat That Day,Old Dominion,42,37,17
11/6/21,50,Family Ties,Baby Keem & Kendrick Lamar,52,18,9
11/6/21,51,Have Mercy,Chloe,53,28,7
11/6/21,52,Fair Trade,Drake Featuring Travis Scott,48,3,8
11/6/21,53,Same Boat,Zac Brown Band,55,53,6
11/6/21,54,My Boy,Elvie Shane,37,28,18
11/6/21,55,Hurricane,Kanye West,58,6,9
11/6/21,56,Chosen,Blxst & Tyga Featuring Ty Dolla $ign,63,56,5
11/6/21,57,Baddest,"Yung Bleu, Chris Brown & 2 Chainz",59,56,13
11/6/21,58,Knowing You,Kenny Chesney,64,58,11
11/6/21,59,Memory,Kane Brown X blackbear,62,50,16
11/6/21,60,Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs,54,26,17
11/6/21,61,Not In The Mood,"Lil Tjay, Fivio Foreign & Kay Flock",,61,1
11/6/21,62,Pissed Me Off,Lil Durk,39,39,2
11/6/21,63,Woman,Doja Cat,65,62,13
11/6/21,64,Sand In My Boots,Morgan Wallen,74,32,15
11/6/21,65,'Til You Can't,Cody Johnson,76,65,3
11/6/21,66,Love Again,Dua Lipa,61,41,15
11/6/21,67,Whiskey And Rain,Michael Ray,81,67,4
11/6/21,68,One Mississippi,Kane Brown,80,68,5
