rank,uri,artist_names,track_name,peak_rank,previous_rank,weeks_on_chart,streams,date,country,source
1,spotify:track:5PjdY0CKGZdEuoNab3yDmX,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),1,1,7,13698566,2021-08-26,US,Columbia
2,spotify:track:27NovPIUIRrOZoCHxABJwK,"Lil Nas X, Jack Harlow",INDUSTRY BABY (feat. Jack Harlow),1,2,5,11031868,2021-08-26,US,Columbia
3,spotify:track:4ZtFanR9U6ndgddUvNcjcG,Olivia Rodrigo,good 4 u,1,3,15,8219210,2021-08-26,US,Olivia Rodrigo PS
4,spotify:track:3Vi5XqYrmQgOYBajMWSvCi,Doja Cat,Need to Know,4,4,11,8200497,2021-08-26,US,Kemosabe Records/RCA Records
5,spotify:track:4RVwu0g32PAqgUiJoXsdF8,Billie Eilish,Happier Than Ever,3,5,4,7137596,2021-08-26,US,Darkroom/Interscope Records
6,spotify:track:3DarAbFujv6eYNliUTyqtz,"Doja Cat, SZA",Kiss Me More (feat. SZA),1,7,20,6681635,2021-08-26,US,Kemosabe Records/RCA Records
7,spotify:track:6PQ88X9TkUIAUIZJHW2upE,Ed Sheeran,Bad Habits,7,8,9,5527199,2021-08-26,US,Atlantic Records UK
8,spotify:track:4XvcHTUfIlWfyJTRG0aqlo,Sleepy Hallow,2055,8,9,10,5421722,2021-08-26,US,Winners Circle/RCA Records
9,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,9,11,39,5257889,2021-08-26,US,Polydor Records
10,spotify:track:67BtfxlNbhBmCDR2L2l8qd,Lil Nas X,MONTERO (Call Me By Your Name),1,10,22,5235498,2021-08-26,US,Columbia
11,spotify:track:4zbr7Cp3UB00FurUovPU03,"Trippie Redd, Juice WRLD",Matt Hardy 999,11,-1,1,4886094,2021-08-26,US,Homemade Projects / 10K Projects
12,spotify:track:3Wrjm47oTz2sjIgck11l5e,Måneskin,Beggin',5,14,10,4789716,2021-08-26,US,RCA Records Label
13,spotify:track:5nujrmhLynf4yMoMtj8AQF,"Dua Lipa, DaBaby",Levitating (feat. DaBaby),4,13,47,4705111,2021-08-26,US,Warner Records
14,spotify:track:5CZ40GBx1sQ9agT82CLQCT,Olivia Rodrigo,traitor,3,16,14,4642185,2021-08-26,US,Olivia Rodrigo PS
15,spotify:track:6Uj1ctrBOjOas8xZXGqKk4,Doja Cat,Woman,15,19,9,4513227,2021-08-26,US,Kemosabe Records/RCA Records
16,spotify:track:6HU7h9RYOaPRFeh0R3UeAr,Olivia Rodrigo,deja vu,2,18,21,4343425,2021-08-26,US,Olivia Rodrigo PS
17,spotify:track:5lAnYvAIkSDNXqfo7DyFUm,Doja Cat,Ain't Shit,4,15,9,4321527,2021-08-26,US,Kemosabe Records/RCA Records
18,spotify:track:0W6I02J9xcqK8MtSeosEXb,Doja Cat,Get Into It (Yuh),18,25,9,4246236,2021-08-26,US,Kemosabe Records/RCA Records
19,spotify:track:6KgtcmCF9Ky68XC7ezxl3s,"Lizzo, Cardi B",Rumors (feat. Cardi B),6,6,2,4236633,2021-08-26,US,Nice Life/Atlantic
20,spotify:track:5fwSHlTEWpluwOM0Sxnh5k,Farruko,Pepas,20,20,5,4073414,2021-08-26,US,Sony Music Latin
21,spotify:track:5KQxun2WxwDMsV7HCN2ONK,"Trippie Redd, Polo G, Lil Durk",Rich MF (feat. Lil Durk),21,-1,1,4071951,2021-08-26,US,Homemade Projects / 10K Projects
22,spotify:track:6iBlllot0wdy8f7V5t8OnR,"Trippie Redd, Playboi Carti",Miss The Rage,4,44,16,4050536,2021-08-26,US,Homemade Projects / 10K Projects
23,spotify:track:18vXApRmJSgQ6wG2ll9AOg,Polo G,RAPSTAR,1,17,20,4026225,2021-08-26,US,Columbia
24,spotify:track:6M3PsepEj5gyJoIi7Xvr7u,The Weeknd,Take My Breath - Single Version,5,12,3,3907943,2021-08-26,US,XO / Republic Records
25,spotify:track:65OVbaJR5O1RmwOQx0875b,"Drake, Lil Baby",Wants and Needs (feat. Lil Baby),2,26,25,3524501,2021-08-26,US,OVO
26,spotify:track:3ZozFqJJlDBNIm4xqxn2ZD,Walker Hayes,Fancy Like,22,22,9,3519270,2021-08-26,US,Monument Records
27,spotify:track:4iJyoBOLtHqaGxP12qzhQI,"Justin Bieber, Daniel Caesar, Giveon",Peaches (feat. Daniel Caesar & Giveon),1,21,23,3470170,2021-08-26,US,RBMG/Def Jam
28,spotify:track:5zNW5ARjYhJQJz1AChP33n,Megan Thee Stallion,Thot Shit,11,23,11,3417073,2021-08-26,US,300 Entertainment
29,spotify:track:55sgQENF3LY1sUcJUwasLl,"Skrillex, Justin Bieber, Don Toliver",Don’t Go (with Justin Bieber & Don Toliver),29,-1,1,3333532,2021-08-26,US,OWSLA/Atlantic
30,spotify:track:40uMIn2zJLAQhNXghRjBed,Post Malone,Motley Crew,3,24,7,3311775,2021-08-26,US,Republic Records
31,spotify:track:26LC5kDFE0vWJzVyaENajX,"Trippie Redd, Lil Uzi Vert",Holy Smokes (feat. Lil Uzi Vert),25,125,6,3300187,2021-08-26,US,Homemade Projects / 10K Projects
32,spotify:track:7EkWXAI1wn8Ii883ecd9xr,Surf Curse,Freaks,31,31,18,3157726,2021-08-26,US,Surf Curse
33,spotify:track:5wANPM4fQCJwkGd4rN57mH,Olivia Rodrigo,drivers license,1,28,33,3121423,2021-08-26,US,Olivia Rodrigo PS
34,spotify:track:37y7iDayfwm3WXn5BiAoRk,Steve Lacy,Dark Red,34,38,3,3121119,2021-08-26,US,Three Quarter
35,spotify:track:0z8hI3OPS8ADPWtoCjjLl6,"Shawn Mendes, Tainy",Summer of Love (Shawn Mendes & Tainy),35,-1,1,3115914,2021-08-26,US,Shawn Mendes LP4-5 PS/ Island
36,spotify:track:37BZB0z9T8Xu7U3e65qxFy,"The Weeknd, Ariana Grande",Save Your Tears (with Ariana Grande) (Remix),5,30,18,3090627,2021-08-26,US,Republic Records
37,spotify:track:7MAibcTli4IisCtbHKrGMh,"Bruno Mars, Anderson .Paak, Silk Sonic",Leave The Door Open,4,29,25,3009101,2021-08-26,US,Aftermath Entertainment/Atlantic
38,spotify:track:2vmfvSoZBFAt9hhRoEByLi,"Aventura, Bad Bunny",Volví,17,27,4,2999655,2021-08-26,US,Rimas Entertainment LLC
39,spotify:track:1sx0XsWUusUoPstbvokZjP,Tai Verdes,AOK,39,56,11,2897843,2021-08-26,US,Arista Records
40,spotify:track:5RwV8BvLfX5injfqYodke9,Rauw Alejandro,Todo De Ti,18,33,13,2884149,2021-08-26,US,Sony Music Latin/Duars Entertainment
